s01-01,adaptive_acc,"nqvypuevdv","8:17:25 AM","1/30/2006","9:08:12 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,8,55,0,"00:10:00","00:44:16",0,0,1,2,Low,0.864,0.104,0.032,0.168,High,0,0.006,0.994,1.994,Low,0.072,0.599,0.328,1.256,Medium,0,0.063,0.937,1.936,Low,0,0.01,0.99,1.99,Low,0,0.003,0.997,1.997,Low,0.002,0.321,0.677,1.676,Low,0.009,0.118,0.873,1.864,Low,0,0.016,0.984,1.983,Low,0.008,0.229,0.763,1.755,Low,0.019,0.396,0.584,1.565,Low,0.412,0.489,0.099,0.686,Medium,0.045,0.163,0.792,1.747,Low,0.028,0.289,0.684,1.656,Low,0.001,0.061,0.938,1.937,Low,0.043,0.35,0.607,1.563,Low,0,0.03,0.97,1.97,Low
s01-02,adaptive_acc,"natryncrynrm","8:17:27 AM","1/30/2006","9:07:46 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,33,30,0,"00:10:00","00:44:48",0.064,0.53,0.405,1.341,Medium,0.895,0.082,0.023,0.129,High,0.031,0.129,0.84,1.809,Low,0.857,0.139,0.004,0.147,High,0.013,0.303,0.684,1.671,Low,0.001,0.049,0.95,1.949,Low,0.006,0.091,0.903,1.897,Low,0.964,0.036,0,0.036,High,0.074,0.231,0.695,1.621,Low,0.172,0.398,0.43,1.257,Low,0.831,0.165,0.004,0.174,High,0.128,0.56,0.311,1.183,Medium,0.692,0.261,0.047,0.355,High,0.17,0.271,0.559,1.389,Low,0.244,0.43,0.325,1.081,Medium,0.009,0.163,0.829,1.82,Low,0.078,0.288,0.634,1.556,Low,0.209,0.483,0.308,1.099,Medium
s01-03,adaptive_full,"naantbqobyq","8:17:22 AM","1/30/2006","9:01:12 AM",Adaptive,"No",full,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,12,51,0,"00:10:00","00:35:45",0,0.003,0.997,1.997,Low,0.865,0.104,0.032,0.167,High,0,0.014,0.985,1.985,Low,0.02,0.402,0.578,1.559,Low,0,0.063,0.937,1.936,Low,0,0.01,0.99,1.99,Low,0,0.005,0.995,1.995,Low,0.014,0.577,0.409,1.395,Medium,0.033,0.242,0.726,1.693,Low,0.065,0.275,0.66,1.595,Low,0.009,0.231,0.76,1.751,Low,0.019,0.397,0.584,1.564,Low,0.414,0.488,0.099,0.685,Medium,0.045,0.163,0.791,1.746,Low,0.028,0.289,0.682,1.654,Low,0.021,0.229,0.75,1.728,Low,0.166,0.499,0.335,1.169,Medium,0.005,0.147,0.848,1.843,Low
s01-04,adaptive_acc,"pnffnaqenrinaf","8:17:30 AM","1/30/2006","8:53:41 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,21,42,0,"00:10:00","00:31:32",0,0.011,0.989,1.989,Low,0.908,0.072,0.019,0.111,High,0.001,0.017,0.982,1.981,Low,0.022,0.403,0.575,1.553,Low,0.299,0.588,0.113,0.814,Medium,0,0.01,0.99,1.99,Low,0,0.019,0.981,1.981,Low,0.285,0.686,0.028,0.743,Medium,0.007,0.088,0.905,1.898,Low,0.008,0.119,0.873,1.864,Low,0.143,0.578,0.279,1.136,Medium,0.174,0.64,0.186,1.012,Medium,0.599,0.338,0.063,0.464,High,0.103,0.237,0.66,1.557,Low,0.111,0.452,0.437,1.326,Medium,0.003,0.101,0.896,1.893,Low,0.023,0.262,0.715,1.692,Low,0.027,0.295,0.677,1.65,Low
s01-05,adaptive_acc,"qnavryebfraoret","8:17:25 AM","1/30/2006","9:02:11 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00",  63,"Exit","Geometric",63,  63,21,42,0,"00:10:00","00:37:52",0,0.034,0.966,1.966,Low,0.926,0.06,0.014,0.088,High,0,0.005,0.995,1.995,Low,0.452,0.508,0.04,0.588,Medium,0.902,0.097,0.001,0.099,High,0,0.011,0.989,1.989,Low,0,0.003,0.997,1.997,Low,0.251,0.721,0.028,0.777,Medium,0.002,0.048,0.95,1.948,Low,0,0.03,0.97,1.969,Low,0.039,0.422,0.539,1.501,Low,0.347,0.598,0.055,0.708,Medium,0.7,0.255,0.045,0.345,High,0.15,0.276,0.574,1.424,Low,0.195,0.497,0.308,1.113,Medium,0.001,0.069,0.929,1.928,Low,0.005,0.139,0.856,1.85,Low,0,0.016,0.984,1.984,Low
s01-06,adaptive_acc,"WbangunaNyinerm","8:16:18 AM","1/30/2006","8:38:32 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,19,44,0,"00:10:00","00:17:03",0,0.04,0.96,1.96,Low,0.89,0.085,0.024,0.134,High,0,0.002,0.998,1.998,Low,0.233,0.636,0.131,0.899,Medium,0.064,0.519,0.417,1.353,Medium,0,0.012,0.988,1.988,Low,0,0.003,0.997,1.997,Low,0.405,0.578,0.017,0.612,Medium,0.001,0.035,0.964,1.964,Low,0.001,0.035,0.965,1.964,Low,0.008,0.227,0.765,1.757,Low,0.09,0.566,0.344,1.253,Medium,0.526,0.397,0.077,0.551,High,0.08,0.208,0.712,1.632,Low,0.078,0.389,0.533,1.455,Low,0.237,0.48,0.283,1.045,Medium,0.002,0.092,0.906,1.904,Low,0,0.027,0.973,1.973,Low
s01-07,adaptive_full,"wbfuhnybcrm","8:17:26 AM","1/30/2006","8:41:37 AM",Adaptive,"No",full,"Time limit and number of items","00:45:00",  63,"Exit","Geometric",63,  63,12,49,0,"00:10:00","00:17:23",0,0.001,0.999,1.999,Low,0.889,0.086,0.025,0.136,High,0,0.002,0.998,1.998,Low,0.019,0.402,0.579,1.561,Low,0.061,0.515,0.424,1.362,Medium,0,0.01,0.99,1.99,Low,0,0.009,0.991,1.991,Low,0.043,0.788,0.168,1.125,Medium,0,0.026,0.973,1.973,Low,0.001,0.048,0.951,1.95,Low,0.008,0.227,0.765,1.757,Low,0.082,0.565,0.354,1.272,Medium,0.511,0.409,0.08,0.569,High,0.072,0.202,0.725,1.653,Low,0.063,0.385,0.552,1.488,Low,0.001,0.063,0.936,1.935,Low,0.001,0.075,0.924,1.922,Low,0,0.02,0.98,1.98,Low
s01-08,linear_full,"xryylxenxbjfxv","8:17:25 AM","1/30/2006","8:59:03 AM",Linear,"No",full,"Time limit and number of items","00:45:00",NA,"Exit","NA",63,63,34,29,0,"00:10:00","00:35:31",0.679,0.295,0.026,0.346,High,0.935,0.053,0.012,0.077,High,0.001,0.046,0.953,1.952,Low,0.876,0.106,0.018,0.142,High,0.477,0.483,0.04,0.563,Medium,0.876,0.117,0.007,0.131,High,0,0.029,0.97,1.97,Low,0.994,0.006,0,0.006,High,0.218,0.48,0.302,1.083,Medium,0.411,0.443,0.146,0.735,Medium,0.003,0.113,0.884,1.882,Low,0.58,0.398,0.022,0.442,High,0.956,0.04,0.004,0.048,High,0.411,0.365,0.224,0.814,High,0.748,0.225,0.027,0.279,High,0.943,0.056,0.001,0.058,High,0.279,0.448,0.273,0.993,Medium,0.027,0.277,0.696,1.669,Low
s01-09,linear_full,"xrivauhooneq","8:17:27 AM","1/30/2006","9:10:21 AM",Linear,"No",full,"Time limit and number of items","00:45:00",NA,"Exit","NA",63,63,25,28,10,"00:10:00","00:44:60",0.128,0.3,0.573,1.445,Low,0.919,0.065,0.016,0.098,High,0.005,0.05,0.946,1.941,Low,0.366,0.436,0.198,0.831,Medium,0.364,0.551,0.085,0.721,Medium,0.007,0.107,0.886,1.878,Low,0,0.01,0.99,1.99,Low,0.949,0.051,0,0.052,High,0.066,0.205,0.73,1.664,Low,0.147,0.318,0.535,1.389,Low,0.159,0.57,0.27,1.111,Medium,0.319,0.561,0.12,0.801,Medium,0.743,0.218,0.039,0.296,High,0.212,0.29,0.498,1.287,Low,0.331,0.403,0.266,0.936,Medium,0.194,0.465,0.34,1.146,Medium,0.092,0.293,0.615,1.524,Low,0.207,0.271,0.523,1.316,Low
s01-10,linear_full,"xvzoreyltenffb","8:15:42 AM","1/30/2006","9:06:08 AM",Linear,"No",full,"Time limit and number of items","00:45:00",NA,"Exit","NA",63,63,28,35,0,"00:10:00","00:42:56",0.005,0.355,0.64,1.634,Low,0.926,0.06,0.014,0.088,High,0,0.011,0.989,1.989,Low,0.786,0.208,0.006,0.22,High,0.711,0.278,0.011,0.301,High,0,0.028,0.971,1.971,Low,0,0.004,0.996,1.996,Low,0.89,0.11,0,0.111,High,0.002,0.06,0.938,1.936,Low,0,0.03,0.969,1.969,Low,0.14,0.579,0.281,1.141,Medium,0.392,0.543,0.065,0.673,Medium,0.762,0.203,0.035,0.273,High,0.209,0.298,0.493,1.284,Low,0.319,0.442,0.239,0.92,Medium,0.41,0.456,0.134,0.723,Medium,0.002,0.062,0.936,1.934,Low,0,0.016,0.984,1.984,Low
