S052    ,0.737,0.236,0.026,0.99,0.01,0,0.017,0.22,0.764,0.122,0.459,0.419,0.243,0.434,0.323,0.747,0.252,0.001,0.99,0.009,0,0.855,0.136,0.009
S053    ,0.021,0.229,0.75,0.014,0.577,0.409,0.005,0.146,0.849,0.065,0.274,0.661,0.032,0.241,0.726,0,0.001,0.999,0.019,0.402,0.579,0,0.01,0.99
S055    ,0.001,0.061,0.938,0.002,0.321,0.677,0,0.03,0.97,0,0.016,0.984,0.009,0.118,0.873,0,0,1,0.072,0.6,0.328,0,0.01,0.99
S056    ,0.059,0.345,0.596,0.562,0.431,0.006,0,0.011,0.989,0.001,0.039,0.96,0.001,0.041,0.958,0,0.026,0.974,0.224,0.643,0.133,0,0.011,0.989
S058    ,0.007,0.152,0.841,0.962,0.038,0,0.183,0.492,0.326,0.156,0.394,0.45,0.054,0.213,0.733,0.005,0.559,0.436,0.846,0.149,0.004,0,0.039,0.961
S059    ,0.003,0.087,0.91,0.045,0.729,0.227,0,0.033,0.967,0.141,0.346,0.513,0.287,0.332,0.382,0,0.053,0.947,0.038,0.406,0.556,0,0.022,0.978
S061    ,0.003,0.105,0.892,0.322,0.651,0.027,0.034,0.312,0.654,0.013,0.14,0.847,0.012,0.108,0.88,0.001,0.097,0.903,0.055,0.409,0.536,0,0.015,0.985
S062    ,0.001,0.063,0.936,0.044,0.788,0.168,0,0.02,0.98,0.001,0.048,0.951,0,0.026,0.973,0,0.002,0.998,0.019,0.402,0.579,0,0.01,0.99
S063    ,0.003,0.098,0.899,0.701,0.291,0.007,0,0.037,0.962,0.004,0.109,0.887,0.014,0.184,0.802,0.033,0.794,0.172,0.852,0.14,0.008,0.001,0.056,0.943
S064    ,0.331,0.488,0.181,0.998,0.002,0,0.784,0.204,0.012,0.464,0.448,0.088,0.54,0.392,0.068,0.953,0.047,0,0.999,0.001,0,0.009,0.2,0.791
S066    ,0.244,0.483,0.273,0.439,0.546,0.016,0,0.031,0.969,0.001,0.042,0.956,0.001,0.045,0.954,0,0.116,0.884,0.281,0.597,0.121,0,0.016,0.984
S067    ,0.001,0.068,0.931,0.001,0.293,0.706,0,0.031,0.968,0.001,0.033,0.966,0.001,0.032,0.967,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S074    ,0.356,0.474,0.17,0.706,0.292,0.002,0,0.017,0.983,0.003,0.072,0.925,0.019,0.172,0.809,0,0.009,0.991,0.022,0.403,0.576,0,0.01,0.99
S075    ,0.097,0.418,0.485,0.949,0.05,0.001,0.279,0.5,0.221,0.5,0.408,0.092,0.292,0.408,0.3,0.559,0.436,0.005,0.978,0.022,0,0.495,0.411,0.094
S077    ,0.003,0.104,0.893,0.673,0.323,0.004,0.001,0.057,0.943,0.006,0.116,0.877,0.004,0.101,0.895,0.003,0.425,0.572,0.65,0.326,0.024,0.011,0.165,0.824
S078    ,0.002,0.091,0.907,0.487,0.505,0.008,0.002,0.094,0.904,0.001,0.035,0.964,0.001,0.029,0.97,0,0.06,0.94,0.246,0.626,0.129,0,0.013,0.987
S080    ,0.011,0.17,0.819,0.024,0.709,0.267,0,0.022,0.978,0.001,0.049,0.949,0,0.028,0.972,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S081    ,0.002,0.084,0.914,0.79,0.209,0.001,0,0.034,0.965,0.01,0.126,0.864,0.015,0.137,0.848,0,0.047,0.953,0.036,0.406,0.559,0,0.012,0.988
S083    ,0.004,0.117,0.879,0.001,0.192,0.807,0.001,0.066,0.933,0.008,0.114,0.878,0.002,0.048,0.951,0,0.001,0.999,0.019,0.402,0.579,0,0.01,0.99
S084    ,0.009,0.174,0.817,0.932,0.068,0,0.027,0.29,0.683,0.005,0.095,0.9,0.003,0.058,0.939,0,0.013,0.987,0.442,0.517,0.041,0,0.01,0.99
S086    ,0.241,0.494,0.265,0.997,0.003,0,0.001,0.055,0.944,0.287,0.502,0.211,0.381,0.467,0.152,0.753,0.247,0,0.994,0.006,0,0.896,0.101,0.003
S087    ,0.001,0.064,0.935,0.425,0.562,0.013,0,0.033,0.967,0.004,0.083,0.913,0.021,0.157,0.822,0,0.165,0.835,0.728,0.264,0.008,0,0.018,0.982
S089    ,0.018,0.228,0.753,0.224,0.735,0.04,0.001,0.057,0.942,0.002,0.056,0.942,0.009,0.097,0.894,0,0.012,0.987,0.023,0.403,0.574,0.001,0.033,0.966
S090    ,0.206,0.471,0.322,0.018,0.604,0.378,0,0.023,0.977,0.002,0.062,0.936,0.002,0.053,0.945,0,0,1,0.018,0.402,0.579,0,0.01,0.99
S097    ,0.119,0.446,0.435,0.965,0.035,0,0.027,0.273,0.7,0.626,0.325,0.048,0.08,0.364,0.556,0.286,0.705,0.009,0.95,0.049,0.001,0.003,0.102,0.895
S098    ,0,0.035,0.964,0.061,0.795,0.144,0.045,0.358,0.597,0,0.029,0.971,0.001,0.03,0.969,0,0.001,0.999,0.208,0.655,0.136,0,0.01,0.99
S100    ,0.083,0.391,0.526,0.051,0.76,0.189,0,0.02,0.98,0,0.017,0.983,0,0.027,0.973,0,0.002,0.998,0.073,0.599,0.328,0,0.01,0.99
S101    ,0.01,0.173,0.817,0.189,0.768,0.044,0,0.015,0.985,0,0.026,0.973,0.001,0.043,0.956,0,0.001,0.999,0.019,0.402,0.579,0,0.01,0.99
S103    ,0.795,0.191,0.014,0.979,0.02,0.001,0.029,0.308,0.662,0.095,0.442,0.463,0.636,0.283,0.081,0.87,0.13,0,0.995,0.005,0,0.915,0.083,0.002
S104    ,0.037,0.288,0.675,0.007,0.489,0.505,0,0.026,0.973,0.001,0.041,0.958,0.002,0.056,0.942,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S106    ,0.828,0.164,0.008,0.968,0.032,0,0.103,0.441,0.457,0.304,0.475,0.22,0.144,0.331,0.525,0.277,0.712,0.011,0.985,0.015,0,0.003,0.1,0.897
S107    ,0.001,0.065,0.934,0.037,0.774,0.188,0,0.02,0.98,0.001,0.049,0.95,0,0.027,0.973,0,0.001,0.999,0.208,0.656,0.137,0,0.01,0.99
S109    ,0.137,0.461,0.402,0.987,0.012,0,0.21,0.495,0.295,0.19,0.496,0.313,0.106,0.4,0.494,0.688,0.311,0.001,0.992,0.008,0,0.886,0.111,0.004
S110    ,0.752,0.23,0.018,1,0,0,0.729,0.251,0.021,0.319,0.505,0.176,0.349,0.417,0.234,0.907,0.093,0,0.985,0.014,0.001,0.921,0.077,0.002
S112    ,0.546,0.383,0.071,0.967,0.032,0.001,0.015,0.211,0.774,0.131,0.46,0.409,0.263,0.414,0.323,0.694,0.304,0.001,0.988,0.011,0,0.844,0.146,0.01
S113    ,0.932,0.067,0.001,1,0,0,0.679,0.29,0.031,0.234,0.524,0.242,0.695,0.263,0.042,0.868,0.132,0,0.997,0.003,0,0.915,0.083,0.002
S119    ,0,0.04,0.96,0.969,0.03,0,0.215,0.53,0.255,0.009,0.164,0.827,0.229,0.496,0.275,0.063,0.853,0.084,0.952,0.047,0.001,0.006,0.149,0.845
S120    ,0.602,0.349,0.049,0.978,0.022,0,0.027,0.271,0.702,0.502,0.402,0.096,0.107,0.376,0.517,0.315,0.676,0.009,0.98,0.02,0,0.068,0.372,0.56
S122    ,0.386,0.483,0.13,0.97,0.03,0,0.009,0.184,0.806,0.036,0.288,0.676,0.062,0.285,0.652,0.079,0.85,0.071,0.956,0.043,0.001,0.545,0.386,0.069
S123    ,0.9,0.098,0.003,1,0,0,0.543,0.397,0.06,0.396,0.49,0.114,0.585,0.342,0.073,0.983,0.017,0,1,0,0,0.841,0.153,0.005
