ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
Key,d,d,416,32,a,a,b,c,df,b,b,c,d,c,a,d,d,a,c,b,a,c,c,b,b
S066,d,b,416,32,c,d,b,d,f,d,c,a,c,a,a,e,d,a,d,b,b,a,c,a,d
S064,d,d,416,32,a,a,b,c,df,b,b,a,a,c,a,c,a,d,c,b,b,a,a,b,c
S053,a,b,416,62,b,c,d,d,aef,d,d,a,c,b,b,c,d,b,b,b,b,a,d,b,c
S055,d,b,416,12,c,a,b,c,de,b,b,b,c,b,d,c,b,b,c,b,b,a,a,a,c
S057,d,d,416,32,a,d,b,c,df,b,b,c,d,b,a,b,e,b,c,c,b,a,c,d,d
S059,a,e,416,58,a,d,b,b,b,b,b,a,a,c,b,d,e,b,b,b,a,a,c,c,d
S061,d,d,416,32,c,d,c,d,abcdf,b,c,d,c,b,a,c,a,c,c,c,d,a,a,c,b
S072,c,d,416,32,c,c,d,c,bd,b,b,a,c,c,a,a,a,d,c,b,b,b,c,b,c
S068,b,e,416,32,b,b,c,b,abef,b,d,d,d,b,a,e,e,b,b,b,b,d,d,b,b
S073,d,d,112,24,c,b,b,c,bdf,b,b,b,b,d,c,c,a,c,d,b,c,c,c,b,c
S070,d,d,416,32,c,d,c,b,abcdef,b,b,c,,c,c,b,c,b,c,b,b,a,b,c,b
S075,d,d,312,16,c,c,b,c,df,c,b,a,d,c,a,a,a,c,c,b,a,a,c,a,a
S092,d,d,416,16,d,c,c,c,abcf,d,b,a,d,a,cd,d,b,d,c,b,b,a,c,b,b
S079,d,a,416,32,c,c,d,b,df,b,b,c,c,c,a,b,b,b,c,a,b,a,c,c,c
S080,c,d,416,16,b,d,c,b,abcd,b,b,a,a,a,c,c,a,b,c,b,b,a,c,a,c
S091,d,d,416,16,a,b,d,c,df,b,b,a,d,a,a,d,e,a,b,b,b,a,d,c,b
S085,c,b,416,16,b,d,b,c,d,b,b,a,c,c,a,a,d,b,c,b,b,a,b,c,c
S082,d,c,376.96,70,b,b,b,a,c,b,d,b,c,b,b,b,c,c,c,a,c,b,b,d,c
S083,b,b,416,32,b,d,c,d,acf,c,a,c,a,d,d,d,c,a,c,a,b,b,d,d,d
S089,d,d,416,32,a,a,c,c,bcdef,b,b,a,,,c,a,,d,a,b,b,a,b,b,b
S088,d,d,312,32,a,c,c,c,acdf,b,b,a,a,b,c,b,e,d,c,b,b,a,c,b,c
S086,d,b,416,32,,a,b,c,df,,b,,,c,a,,,a,c,b,,a,c,,
S100,b,d,416,32,a,c,c,d,df,b,b,a,a,c,b,c,a,c,c,b,b,a,b,a,b
