ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
Key,b,d,1215,16,c,a,d,a,de,b,c,a,a,b,c,b,a,a,b,d,a,c,d,a,c
S069,b,c,1215,16,b,a,d,a,acf,a,c,c,c,b,a,b,d,b,a,d,c,a,b,a,c
S056,a,c,1215,8,c,a,d,c,acd,b,d,d,c,a,a,b,b,b,a,d,a,a,a,d,c
S052,b,d,1215,16,c,a,d,a,e,b,c,a,c,b,c,b,e,c,b,d,b,c,d,b,b
S054,b,d,810,16,d,a,d,a,de,b,a,a,a,b,c,b,e,b,a,d,a,b,d,b,b
S058,a,a,675,32,c,d,d,c,cde,b,c,d,c,a,a,b,a,b,c,d,b,c,b,a,a
S060,a,d,1215,15,a,c,d,c,cde,a,a,c,c,a,c,b,b,b,b,b,c,b,c,a,c
S065,a,c,1215,16,c,a,d,d,cde,c,a,c,a,b,c,b,b,b,b,d,b,d,d,d,c
S063,a,d,1215,31,b,b,a,a,cde,b,c,b,d,,c,d,e,b,b,d,a,a,d,b,a
S062,b,d,810,9,c,a,d,a,c,c,b,d,b,c,c,b,d,b,c,b,a,c,,,
S071,c,d,810,33,c,b,d,a,ad,c,a,a,a,b,c,b,e,d,c,b,a,c,d,b,c
S067,c,a,1215,16,b,c,d,c,c,d,a,c,a,d,c,e,c,b,c,d,d,a,c,a,d
S078,c,d,1215,16,c,b,d,c,d,a,c,c,d,d,c,e,e,b,a,d,b,d,b,b,c
S095,b,d,1215,8,d,a,d,c,d,b,c,d,a,a,c,c,a,d,a,d,d,b,a,d,b
S076,b,e,795,32,,a,d,c,d,b,a,c,c,a,c,e,b,b,b,d,b,a,b,a,b
S077,b,d,1215,16,d,a,d,b,de,b,d,a,a,b,c,b,a,b,b,d,d,b,d,c,b
S074,b,d,1215,16,c,a,c,a,def,b,c,a,c,a,b,,,b,b,d,b,a,,,
S093,c,d,1215,8,a,c,d,d,ad,a,d,c,c,a,b,d,b,b,b,d,a,a,d,a,d
S084,c,b,1215,16,b,c,d,b,c,c,c,c,b,b,a,c,b,b,b,d,c,b,c,c,b
S081,b,d,,16,c,b,b,c,cf,b,c,b,b,a,d,b,e,b,c,d,a,a,c,a,a
S087,b,d,1245,16,b,c,b,a,acd,c,b,d,a,b,a,d,e,d,a,d,b,b,b,a,d
S090,b,e,510,16,c,d,d,a,bcf,b,c,d,c,c,d,d,b,b,d,d,a,b,a,d,b
S096,b,d,1215,16,c,a,d,a,cf,b,c,b,d,b,c,e,d,b,b,d,c,a,d,c,b
S094,a,d,1215,28,b,b,d,c,acd,b,c,b,d,a,d,b,e,b,c,d,b,a,d,b,a
S103,b,d,486,16,c,b,d,a,de,b,c,a,a,b,c,b,a,b,c,d,c,d,d,a,
S109,b,a,1215,24,c,d,d,a,d,c,c,b,d,d,c,e,e,b,c,d,c,d,a,b,c
S118,a,d,905,35,b,b,d,d,c,b,c,a,b,d,d,b,a,b,c,d,d,c,a,c,a
S107,c,a,1215,16,b,a,b,b,d,a,c,b,a,a,d,a,acd,b,c,d,b,b,b,c,a
S113,b,d,1215,16,d,a,d,a,cde,a,a,a,c,b,acd,b,b,b,b,d,b,b,d,b,d
S111,a,e,1215,16,d,d,d,a,cdf,c,d,b,b,a,d,c,d,d,b,d,e,a,d,a,c
S105,b,c,1215,15,a,c,d,a,ace,b,a,c,b,b,c,e,b,b,c,d,a,c,b,b,d
S101,b,a,945,32,c,d,d,d,cde,a,c,c,b,a,c,c,e,b,b,b,b,b,a,a,b
S099,b,b,675,8,c,b,d,a,ad,b,b,a,c,a,a,d,a,c,c,d,b,a,b,b,c
S097,c,d,435,16,c,b,d,a,cde,b,a,d,c,b,a,e,e,d,b,d,b,b,d,d,d
S119,c,a,1215,16,c,b,d,a,cde,a,c,b,d,b,c,c,e,b,b,d,c,c,a,c,c
S123,b,d,1215,8,d,a,d,b,de,b,c,a,c,b,c,d,a,b,c,d,b,a,d,a,c
S135,b,a,1215,8,b,a,d,c,def,b,c,c,a,b,c,d,a,b,c,d,b,b,c,b,b
S121,b,d,1215,16,c,a,d,a,de,b,c,a,d,b,c,b,e,a,c,d,b,c,d,b,b
S125,a,d,1215,16,c,b,d,d,e,a,c,b,d,b,c,e,a,b,c,d,c,b,b,b,c
S127,a,d,1215,16,b,a,d,a,cde,c,a,c,d,a,c,d,e,a,b,d,b,b,a,b,c
S137,b,d,1215,16,c,b,d,b,de,b,c,c,c,b,c,b,a,a,c,d,a,c,c,b,c
