ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
S066,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
S064,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
S053,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
S055,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,-999,-999,-999
S057,0,0,-999,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
S059,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
S061,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
S072,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,-999,-999,-999,-999
S068,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
S073,0,1,1,0,1,0,1,0,0,1,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S070,1,1,0,0,1,1,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S083,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0
S085,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,-999,0,0,0
S091,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,-999,0,-999,-999,-999
S088,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
S089,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S086,1,1,1,1,-999,-999,1,1,1,-999,1,-999,0,1,1,-999,0,0,0,1,-999,-999,1,-999,-999
S079,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
S082,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,-999,1
S080,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
S075,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
S092,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,-999,-999,-999,-999,-999
S116,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
S114,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,-999,0,0,0,1,0,1,1,1,0
S117,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999
S110,0,0,1,1,0,-999,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,-999,-999,-999
S112,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
S108,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
S102,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1
S098,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
S100,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
S104,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S106,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999
S115,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,-999,0,1,-999,1,-999,-999,-999,-999,-999
S136,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,-999,-999,-999,-999,-999
S126,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
S124,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1
S122,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1
S120,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,-999,-999,-999
S134,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999
S132,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
S130,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
S128,1,1,1,1,-999,1,1,-999,0,1,0,1,0,1,1,-999,0,0,-999,-999,-999,-999,-999,-999,-999
S138,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
S149,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1
S147,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0
S145,0,-999,1,1,1,0,1,0,0,0,0,0,0,-999,0,0,-999,0,1,1,0,0,-999,-999,-999
S143,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,-999,-999,-999
S141,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0
S155,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,-999,-999,-999,-999,-999,-999
S153,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
S151,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
S169,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
S166,0,0,0,0,-999,-999,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,-999,-999,-999,-999
