"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S055","s01-01","c01","adaptive_acc","Adaptive","Accuracy",63,8,55,0,2656,0,0,1,0,"L",0.072,0.6,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.003,0.997,0.00299999999999989,"L",0.002,0.321,0.678,0.324,"L",0,0.016,0.984,0.0169999999999999,"L",0.008,0.229,0.763,0.245,"L",0.001,0.061,0.938,0.0629999999999999,"L",0.043,0.35,0.607,0.437,"L",0,0.03,0.97,0.03,"L"
"S058","s01-02","c01","adaptive_acc","Adaptive","Accuracy",63,33,30,0,2688,0.005,0.562,0.433,0.572,"M",0.847,0.149,0.004,1.843,"H",0.167,0.274,0.56,0.607,"L",0,0.039,0.961,0.04,"L",0.006,0.087,0.907,0.099,"L",0.962,0.038,0,1.962,"H",0.154,0.394,0.452,0.703,"L",0.828,0.167,0.004,1.824,"H",0.007,0.153,0.84,0.166,"L",0.068,0.28,0.652,0.417,"L",0.182,0.492,0.326,0.856,"M"
"S053","s01-03","c01","adaptive_full","Adaptive","Full",63,12,51,0,2145,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.005,0.995,0.00499999999999989,"L",0.014,0.577,0.409,0.604,"M",0.065,0.274,0.661,0.404,"L",0.009,0.231,0.76,0.249,"L",0.021,0.229,0.75,0.271,"L",0.166,0.499,0.336,0.83,"M",0.005,0.146,0.849,0.156,"L"
"S061","s01-04","c01","adaptive_acc","Adaptive","Accuracy",63,21,42,0,1892,0.001,0.096,0.903,0.097,"L",0.055,0.409,0.536,0.518,"L",0.109,0.235,0.656,0.453,"L",0,0.015,0.985,0.0149999999999999,"L",0,0.019,0.981,0.02,"L",0.322,0.652,0.027,1.295,"M",0.013,0.14,0.847,0.166,"L",0.145,0.577,0.278,0.866,"M",0.003,0.105,0.892,0.112,"L",0.028,0.267,0.705,0.322,"L",0.034,0.312,0.654,0.38,"L"
"S063","s01-05","c01","adaptive_acc","Adaptive","Accuracy",63,21,42,0,2272,0.033,0.794,0.173,0.861,"M",0.852,0.14,0.008,1.844,"H",0.201,0.296,0.503,0.698,"L",0.001,0.056,0.943,0.0580000000000001,"L",0,0.004,0.996,0.004,"L",0.701,0.291,0.007,1.694,"H",0.004,0.11,0.887,0.117,"L",0.041,0.424,0.535,0.506,"L",0.003,0.098,0.899,0.103,"L",0.019,0.198,0.783,0.236,"L",0,0.037,0.962,0.038,"L"
"S066","s01-06","c01","adaptive_acc","Adaptive","Accuracy",63,19,44,0,1023,0,0.116,0.884,0.116,"L",0.281,0.597,0.121,1.16,"M",0.111,0.237,0.652,0.46,"L",0,0.016,0.984,0.016,"L",0,0.003,0.997,0.00299999999999989,"L",0.439,0.546,0.016,1.423,"M",0.001,0.043,0.956,0.0449999999999999,"L",0.008,0.227,0.765,0.243,"L",0.244,0.483,0.273,0.971,"M",0.003,0.096,0.901,0.101,"L",0,0.031,0.969,0.0309999999999999,"L"
"S062","s01-07","c01","adaptive_full","Adaptive","Full",63,12,49,0,1043,0,0.002,0.998,0.002,"L",0.019,0.402,0.579,0.44,"L",0.098,0.227,0.675,0.423,"L",0,0.01,0.99,0.01,"L",0,0.009,0.991,0.0089999999999999,"L",0.044,0.788,0.168,0.876,"M",0.001,0.048,0.951,0.05,"L",0.008,0.227,0.765,0.243,"L",0.001,0.063,0.936,0.0649999999999999,"L",0.001,0.075,0.923,0.0780000000000001,"L",0,0.02,0.98,0.02,"L"
"S054","s01-08","c01","linear_full","Linear","Full",63,34,29,0,2131,0.69,0.307,0.003,1.687,"H",0.893,0.096,0.011,1.882,"H",0.28,0.327,0.392,0.888,"L",0.885,0.111,0.004,1.881,"H",0,0.029,0.97,0.03,"L",0.995,0.005,0,1.995,"H",0.419,0.448,0.133,1.286,"M",0.003,0.113,0.884,0.119,"L",0.945,0.054,0.001,1.944,"H",0.284,0.449,0.268,1.016,"M",0.028,0.282,0.691,0.337,"L"
"S057","s01-09","c01","linear_full","Linear","Full",63,25,28,10,NA,0.258,0.622,0.119,1.139,"M",0.677,0.263,0.06,1.618,"H",0.228,0.306,0.466,0.761,"L",0.015,0.193,0.792,0.222,"L",0,0.013,0.987,0.0129999999999999,"L",0.981,0.019,0,1.981,"H",0.268,0.436,0.296,0.972,"M",0.178,0.562,0.26,0.918,"M",0.28,0.488,0.232,1.048,"M",0.162,0.346,0.491,0.671,"L",0.382,0.335,0.283,1.099,"H"
"S060","s01-10","c01","linear_full","Linear","Full",63,28,35,0,2576,0.049,0.903,0.048,1.001,"M",0.962,0.037,0.001,1.961,"H",0.218,0.306,0.476,0.741,"L",0.001,0.065,0.934,0.0669999999999999,"L",0,0.004,0.996,0.004,"L",0.975,0.025,0,1.975,"H",0.001,0.067,0.932,0.069,"L",0.143,0.578,0.279,0.864,"M",0.561,0.386,0.052,1.509,"H",0.004,0.096,0.9,0.105,"L",0,0.032,0.968,0.0329999999999999,"L"
"S067","s01-11","c01","adaptive_full","Adaptive","Full",63,6,54,0,NA,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.011,0.989,0.0109999999999999,"L",0.001,0.293,0.706,0.296,"L",0.001,0.033,0.966,0.034,"L",0.008,0.227,0.765,0.243,"L",0.001,0.068,0.931,0.071,"L",0.002,0.099,0.898,0.104,"L",0,0.031,0.968,0.032,"L"
"S056","s01-12","c01","adaptive_full","Adaptive","Full",63,20,43,0,2009,0,0.026,0.974,0.026,"L",0.224,0.643,0.133,1.09,"M",0.1,0.229,0.67,0.43,"L",0,0.011,0.989,0.0109999999999999,"L",0,0.009,0.991,0.0089999999999999,"L",0.562,0.431,0.006,1.556,"H",0.001,0.039,0.96,0.0409999999999999,"L",0.039,0.422,0.539,0.499,"L",0.059,0.345,0.596,0.463,"L",0.004,0.116,0.881,0.123,"L",0,0.011,0.989,0.0109999999999999,"L"
"S059","s01-13","c01","adaptive_full","Adaptive","Full",63,20,37,6,NA,0,0.053,0.947,0.0529999999999999,"L",0.038,0.406,0.556,0.482,"L",0.104,0.232,0.665,0.439,"L",0,0.022,0.978,0.0229999999999999,"L",0.116,0.278,0.606,0.51,"L",0.045,0.729,0.227,0.818,"M",0.141,0.346,0.513,0.628,"L",0.739,0.235,0.026,1.714,"H",0.003,0.087,0.91,0.093,"L",0.478,0.378,0.144,1.334,"H",0,0.033,0.967,0.0329999999999999,"L"
"S064","s01-14","c01","adaptive_full","Adaptive","Full",63,36,27,0,2317,0.953,0.047,0,1.953,"H",0.999,0.001,0,1.999,"H",0.304,0.335,0.361,0.943,"L",0.009,0.201,0.791,0.218,"L",0.066,0.278,0.657,0.409,"L",0.998,0.002,0,1.998,"H",0.452,0.454,0.094,1.358,"M",0.067,0.306,0.626,0.441,"L",0.334,0.487,0.179,1.155,"M",0.65,0.297,0.053,1.597,"H",0.78,0.208,0.012,1.767,"H"
"S065","s01-15","c01","linear_full","Linear","Full",63,30,33,0,1971,0.001,0.337,0.661,0.34,"L",0.78,0.214,0.006,1.773,"H",0.139,0.255,0.606,0.532,"L",0.038,0.263,0.698,0.34,"L",0,0.022,0.977,0.0229999999999999,"L",0.848,0.152,0.001,1.847,"H",0.001,0.046,0.953,0.048,"L",0.143,0.578,0.279,0.864,"M",0.413,0.454,0.133,1.28,"M",0.008,0.128,0.864,0.144,"L",0,0.041,0.958,0.042,"L"
