"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S055","s01-01",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.004,0.241,0.755,0.249,"L",0,0.01,0.989,0.0109999999999999,"L",0.088,0.443,0.469,0.619,"L",0.004,0.08,0.916,0.0880000000000001,"L",0.003,0.088,0.908,0.095,"L",0.001,0.065,0.934,0.0669999999999999,"L"
"S058","s01-02",0.046,0.525,0.429,0.618,"M",0.825,0.165,0.01,1.815,"H",0.171,0.275,0.554,0.617,"L",0.011,0.119,0.87,0.14,"L",0.002,0.032,0.965,0.0369999999999999,"L",0.959,0.041,0,1.959,"H",0.042,0.207,0.75,0.292,"L",0.577,0.368,0.055,1.522,"H",0.098,0.313,0.589,0.509,"L",0.1,0.26,0.639,0.461,"L",0.39,0.404,0.206,1.183,"M"
"S053","s01-03",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.058,0.613,0.329,0.729,"M",0.001,0.03,0.969,0.0309999999999999,"L",0.02,0.259,0.721,0.298,"L",0.041,0.235,0.724,0.317,"L",0.006,0.123,0.872,0.134,"L",0.004,0.099,0.897,0.106,"L"
"S061","s01-04",0.002,0.087,0.911,0.091,"L",0.211,0.547,0.242,0.969,"M",0.108,0.234,0.657,0.451,"L",0.002,0.043,0.956,0.046,"L",0.002,0.032,0.966,0.036,"L",0.721,0.272,0.006,1.715,"H",0.006,0.07,0.924,0.0820000000000001,"L",0.097,0.442,0.461,0.637,"L",0.019,0.167,0.814,0.205,"L",0.06,0.289,0.651,0.409,"L",0.044,0.271,0.685,0.358,"L"
"S063","s01-05",0.02,0.397,0.583,0.437,"L",0.602,0.343,0.055,1.547,"H",0.15,0.262,0.588,0.562,"L",0.007,0.092,0.902,0.105,"L",0.001,0.016,0.983,0.0169999999999999,"L",0.612,0.365,0.023,1.589,"H",0.006,0.08,0.915,0.091,"L",0.095,0.443,0.462,0.633,"L",0.046,0.242,0.712,0.334,"L",0.035,0.198,0.767,0.268,"L",0.003,0.071,0.926,0.077,"L"
"S066","s01-06",0,0.026,0.974,0.026,"L",0.384,0.526,0.09,1.294,"M",0.101,0.229,0.67,0.43,"L",0.001,0.034,0.966,0.0349999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.151,0.67,0.179,0.971,"M",0,0.007,0.993,0.0069999999999999,"L",0.088,0.443,0.469,0.619,"L",0.263,0.405,0.332,0.931,"M",0.003,0.079,0.918,0.085,"L",0.001,0.048,0.951,0.0489999999999999,"L"
"S062","s01-07",0,0.015,0.985,0.0149999999999999,"L",0.162,0.577,0.261,0.901,"M",0.099,0.228,0.673,0.427,"L",0.001,0.032,0.967,0.0329999999999999,"L",0,0.009,0.991,0.0089999999999999,"L",0.431,0.536,0.033,1.398,"M",0.001,0.036,0.962,0.0389999999999999,"L",0.019,0.259,0.721,0.298,"L",0.009,0.124,0.867,0.143,"L",0.002,0.071,0.927,0.075,"L",0.001,0.037,0.963,0.038,"L"
"S054","s01-08",0.172,0.566,0.261,0.911,"M",0.671,0.251,0.078,1.594,"H",0.203,0.292,0.505,0.697,"L",0.434,0.35,0.216,1.218,"H",0,0.006,0.994,0.00600000000000001,"L",0.894,0.104,0.002,1.892,"H",0.036,0.198,0.766,0.269,"L",0.022,0.262,0.716,0.306,"L",0.666,0.267,0.067,1.599,"H",0.036,0.195,0.768,0.268,"L",0.029,0.199,0.773,0.256,"L"
"S057","s01-09",0.511,0.355,0.134,1.378,"H",0.82,0.14,0.041,1.779,"H",0.248,0.312,0.44,0.809,"L",0.182,0.367,0.451,0.732,"L",0.001,0.024,0.975,0.026,"L",0.981,0.019,0,1.981,"H",0.317,0.352,0.332,0.985,"M",0.36,0.465,0.174,1.186,"M",0.627,0.281,0.091,1.536,"H",0.278,0.299,0.422,0.856,"L",0.493,0.282,0.225,1.268,"H"
"S060","s01-10",0.022,0.589,0.389,0.634,"M",0.838,0.153,0.009,1.829,"H",0.174,0.278,0.549,0.625,"L",0.009,0.119,0.872,0.136,"L",0.001,0.018,0.981,0.0189999999999999,"L",0.882,0.116,0.002,1.881,"H",0.007,0.098,0.895,0.112,"L",0.281,0.514,0.205,1.076,"M",0.606,0.305,0.089,1.517,"H",0.014,0.118,0.868,0.145,"L",0.003,0.082,0.914,0.089,"L"
"S067","s01-11",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.009,0.991,0.0089999999999999,"L",0.038,0.564,0.398,0.641,"M",0,0.02,0.979,0.0209999999999999,"L",0.019,0.259,0.721,0.298,"L",0.007,0.11,0.883,0.125,"L",0.002,0.081,0.916,0.0860000000000001,"L",0.001,0.053,0.946,0.0549999999999999,"L"
"S056","s01-12",0.001,0.118,0.881,0.12,"L",0.436,0.482,0.082,1.354,"M",0.112,0.237,0.651,0.461,"L",0.002,0.047,0.952,0.05,"L",0,0.005,0.994,0.00600000000000001,"L",0.668,0.322,0.01,1.658,"H",0.005,0.066,0.928,0.077,"L",0.09,0.443,0.467,0.623,"L",0.206,0.389,0.404,0.802,"L",0.014,0.155,0.831,0.183,"L",0.001,0.041,0.959,0.042,"L"
"S059","s01-13",0,0.015,0.984,0.016,"L",0.163,0.577,0.26,0.902,"M",0.099,0.228,0.672,0.427,"L",0.003,0.057,0.941,0.0620000000000001,"L",0.002,0.024,0.975,0.0269999999999999,"L",0.137,0.683,0.18,0.957,"M",0.011,0.104,0.885,0.126,"L",0.493,0.416,0.091,1.403,"H",0.015,0.151,0.835,0.18,"L",0.037,0.235,0.728,0.309,"L",0.003,0.089,0.908,0.095,"L"
"S064","s01-14",0.473,0.488,0.039,1.433,"M",0.971,0.028,0.001,1.97,"H",0.256,0.319,0.425,0.831,"L",0.055,0.276,0.669,0.386,"L",0.03,0.109,0.862,0.168,"L",0.967,0.033,0,1.966,"H",0.136,0.373,0.491,0.646,"L",0.158,0.428,0.415,0.743,"M",0.253,0.39,0.357,0.897,"M",0.149,0.303,0.548,0.601,"L",0.601,0.319,0.08,1.52,"H"
"S065","s01-15",0.001,0.077,0.922,0.0780000000000001,"L",0.413,0.502,0.086,1.327,"M",0.107,0.234,0.66,0.447,"L",0.008,0.095,0.897,0.11,"L",0,0.013,0.986,0.014,"L",0.525,0.451,0.024,1.501,"H",0,0.018,0.981,0.0189999999999999,"L",0.088,0.443,0.468,0.62,"L",0.113,0.337,0.55,0.563,"L",0.003,0.075,0.922,0.081,"L",0.005,0.103,0.892,0.113,"L"
"S068","s01-16",0,0.029,0.971,0.0289999999999999,"L",0.171,0.571,0.257,0.914,"M",0.101,0.23,0.67,0.431,"L",0.001,0.034,0.965,0.036,"L",0,0.012,0.988,0.012,"L",0.051,0.554,0.395,0.656,"M",0.001,0.031,0.968,0.0329999999999999,"L",0.273,0.519,0.208,1.065,"M",0.195,0.387,0.418,0.777,"L",0.009,0.131,0.861,0.148,"L",0.005,0.108,0.887,0.117,"L"
"S052","s01-17",0.498,0.453,0.048,1.45,"H",0.962,0.035,0.003,1.959,"H",0.258,0.318,0.424,0.834,"L",0.576,0.307,0.117,1.458,"H",0.034,0.092,0.874,0.16,"L",0.969,0.03,0.001,1.968,"H",0.125,0.361,0.515,0.61,"L",0.305,0.387,0.308,0.997,"M",0.747,0.211,0.042,1.704,"H",0.264,0.336,0.4,0.864,"L",0.168,0.373,0.46,0.708,"L"
"S241","s10-01",0.477,0.478,0.044,1.433,"M",0.987,0.013,0,1.986,"H",0.256,0.318,0.426,0.831,"L",0.385,0.392,0.223,1.162,"M",0.001,0.018,0.981,0.02,"L",0.996,0.004,0,1.996,"H",0.13,0.365,0.504,0.626,"L",0.031,0.27,0.7,0.331,"L",0.523,0.342,0.136,1.387,"H",0.169,0.348,0.483,0.687,"L",0.423,0.394,0.183,1.241,"H"
"S230","s10-02",0.527,0.447,0.026,1.502,"H",0.99,0.01,0,1.99,"H",0.263,0.321,0.416,0.847,"L",0.643,0.286,0.071,1.571,"H",0.005,0.064,0.931,0.0740000000000001,"L",0.984,0.016,0,1.984,"H",0.486,0.369,0.145,1.341,"H",0.66,0.298,0.042,1.618,"H",0.134,0.342,0.524,0.61,"L",0.388,0.334,0.278,1.111,"H",0.133,0.376,0.492,0.641,"L"
"S232","s10-03",0.045,0.476,0.479,0.567,"L",0.661,0.293,0.046,1.616,"H",0.165,0.271,0.564,0.601,"L",0.01,0.112,0.878,0.132,"L",0,0.011,0.989,0.0109999999999999,"L",0.627,0.348,0.026,1.601,"H",0.058,0.222,0.72,0.338,"L",0.021,0.261,0.718,0.303,"L",0.746,0.218,0.036,1.711,"H",0.019,0.156,0.825,0.194,"L",0.013,0.151,0.836,0.177,"L"
"S233","s10-04",0.782,0.213,0.005,1.778,"H",0.997,0.003,0,1.997,"H",0.288,0.33,0.382,0.906,"L",0.515,0.365,0.12,1.395,"H",0.001,0.017,0.982,0.018,"L",0.999,0.001,0,1.999,"H",0.272,0.441,0.287,0.984,"M",0.344,0.476,0.18,1.163,"M",0.744,0.218,0.038,1.706,"H",0.171,0.336,0.493,0.678,"L",0.36,0.423,0.217,1.143,"M"
"S236","s10-05",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0.002,0.037,0.961,0.0409999999999999,"L",0.009,0.347,0.644,0.365,"L",0,0.023,0.977,0.0229999999999999,"L",0.274,0.519,0.208,1.066,"M",0.01,0.125,0.866,0.144,"L",0.004,0.089,0.907,0.097,"L",0.001,0.061,0.938,0.0640000000000001,"L"
"S235","s10-06",0.015,0.408,0.577,0.438,"L",0.774,0.213,0.013,1.76,"H",0.15,0.262,0.588,0.562,"L",0.006,0.091,0.903,0.104,"L",0.011,0.087,0.902,0.109,"L",0.923,0.076,0.001,1.923,"H",0.008,0.096,0.895,0.113,"L",0.028,0.264,0.708,0.321,"L",0.036,0.213,0.751,0.285,"L",0.055,0.239,0.706,0.349,"L",0.334,0.417,0.248,1.086,"M"
"S240","s10-07",0,0.035,0.965,0.0349999999999999,"L",0.641,0.337,0.022,1.619,"H",0.102,0.23,0.668,0.433,"L",0.028,0.183,0.789,0.238,"L",0.001,0.017,0.982,0.018,"L",0.352,0.593,0.054,1.298,"M",0.002,0.046,0.952,0.05,"L",0.279,0.515,0.206,1.073,"M",0.025,0.192,0.783,0.243,"L",0.032,0.226,0.742,0.289,"L",0.002,0.079,0.919,0.083,"L"
"S239","s10-08",0.712,0.279,0.009,1.702,"H",0.988,0.012,0,1.988,"H",0.281,0.327,0.391,0.89,"L",0.712,0.243,0.045,1.667,"H",0.037,0.131,0.832,0.206,"L",0.98,0.019,0,1.98,"H",0.531,0.355,0.114,1.418,"H",0.083,0.293,0.625,0.458,"L",0.701,0.247,0.052,1.648,"H",0.514,0.333,0.153,1.361,"H",0.063,0.312,0.625,0.439,"L"
"S234","s10-09",0,0.021,0.979,0.0209999999999999,"L",0.166,0.575,0.259,0.907,"M",0.1,0.229,0.671,0.429,"L",0.001,0.033,0.966,0.034,"L",0,0.014,0.986,0.014,"L",0.301,0.626,0.073,1.228,"M",0.001,0.027,0.973,0.028,"L",0.089,0.443,0.468,0.622,"L",0.126,0.352,0.522,0.604,"L",0.011,0.155,0.833,0.178,"L",0.001,0.041,0.959,0.042,"L"
"S231","s10-10",0.432,0.519,0.049,1.383,"M",0.945,0.051,0.004,1.941,"H",0.252,0.317,0.432,0.82,"L",0.051,0.265,0.684,0.366,"L",0.021,0.098,0.881,0.14,"L",0.99,0.01,0,1.99,"H",0.175,0.383,0.443,0.732,"L",0.613,0.337,0.05,1.563,"H",0.644,0.282,0.074,1.57,"H",0.119,0.26,0.621,0.497,"L",0.181,0.396,0.424,0.757,"L"
"S243","s10-11",0.015,0.375,0.609,0.406,"L",0.763,0.223,0.014,1.749,"H",0.146,0.26,0.594,0.552,"L",0.027,0.177,0.796,0.231,"L",0,0.006,0.994,0.00600000000000001,"L",0.665,0.32,0.015,1.65,"H",0.004,0.063,0.933,0.071,"L",0.091,0.443,0.465,0.626,"L",0.167,0.369,0.464,0.703,"L",0.017,0.147,0.836,0.181,"L",0.008,0.125,0.867,0.141,"L"
"S228","s10-12",0.039,0.472,0.489,0.551,"L",0.655,0.298,0.046,1.609,"H",0.163,0.27,0.567,0.596,"L",0.009,0.109,0.881,0.128,"L",0,0.013,0.986,0.014,"L",0.871,0.127,0.002,1.869,"H",0.004,0.074,0.922,0.083,"L",0.021,0.261,0.718,0.303,"L",0.178,0.367,0.454,0.724,"L",0.018,0.149,0.833,0.185,"L",0.172,0.391,0.437,0.735,"L"
"S238","s10-13",0.063,0.451,0.487,0.576,"L",0.806,0.183,0.011,1.795,"H",0.165,0.271,0.564,0.602,"L",0.138,0.316,0.546,0.593,"L",0.005,0.046,0.949,0.056,"L",0.617,0.355,0.028,1.588,"H",0.017,0.136,0.847,0.17,"L",0.303,0.5,0.197,1.106,"M",0.012,0.13,0.858,0.154,"L",0.067,0.228,0.705,0.362,"L",0.144,0.383,0.473,0.671,"L"
"S229","s10-14",0,0.039,0.961,0.04,"L",0.178,0.567,0.255,0.924,"M",0.102,0.23,0.667,0.435,"L",0.001,0.036,0.964,0.0369999999999999,"L",0,0.006,0.994,0.0069999999999999,"L",0.946,0.054,0,1.946,"H",0.005,0.069,0.926,0.079,"L",0.276,0.517,0.207,1.069,"M",0.144,0.37,0.487,0.657,"L",0.024,0.201,0.775,0.249,"L",0.009,0.137,0.854,0.155,"L"
"S242","s10-15",0.023,0.391,0.587,0.436,"L",0.6,0.345,0.055,1.544,"H",0.15,0.262,0.589,0.561,"L",0.007,0.092,0.901,0.105,"L",0.002,0.037,0.96,0.042,"L",0.885,0.113,0.001,1.884,"H",0.062,0.218,0.721,0.341,"L",0.095,0.442,0.463,0.632,"L",0.038,0.218,0.744,0.293,"L",0.016,0.136,0.848,0.168,"L",0.038,0.237,0.725,0.313,"L"
"S237","s10-16",0.007,0.141,0.851,0.156,"L",0.252,0.521,0.227,1.025,"M",0.116,0.24,0.644,0.472,"L",0.013,0.114,0.873,0.14,"L",0.002,0.02,0.978,0.0229999999999999,"L",0.936,0.063,0.001,1.936,"H",0.036,0.159,0.805,0.231,"L",0.226,0.492,0.282,0.944,"M",0.301,0.405,0.294,1.007,"M",0.033,0.207,0.759,0.274,"L",0.071,0.31,0.619,0.452,"L"
"S260","s11-01",0.001,0.085,0.914,0.087,"L",0.417,0.498,0.085,1.332,"M",0.108,0.234,0.658,0.45,"L",0.008,0.097,0.895,0.113,"L",0,0.006,0.994,0.00600000000000001,"L",0.463,0.503,0.034,1.428,"M",0.009,0.087,0.904,0.105,"L",0.543,0.396,0.06,1.483,"H",0.132,0.354,0.514,0.618,"L",0.004,0.079,0.917,0.087,"L",0.001,0.043,0.957,0.044,"L"
"S257","s11-02",0.001,0.116,0.883,0.119,"L",0.435,0.483,0.082,1.353,"M",0.112,0.237,0.651,0.46,"L",0.043,0.207,0.75,0.293,"L",0,0.005,0.995,0.00499999999999989,"L",0.617,0.369,0.014,1.603,"H",0,0.021,0.979,0.022,"L",0.088,0.443,0.469,0.62,"L",0.112,0.334,0.554,0.558,"L",0.003,0.077,0.92,0.0840000000000001,"L",0.001,0.042,0.957,0.044,"L"
"S258","s11-03",0.092,0.472,0.437,0.655,"M",0.541,0.337,0.123,1.418,"H",0.174,0.276,0.55,0.624,"L",0.015,0.129,0.856,0.159,"L",0,0.005,0.995,0.00499999999999989,"L",0.98,0.02,0,1.98,"H",0.114,0.277,0.609,0.506,"L",0.023,0.263,0.715,0.308,"L",0.434,0.37,0.196,1.237,"H",0.06,0.25,0.69,0.371,"L",0.397,0.393,0.21,1.188,"H"
"S249","s11-04",0,0.006,0.994,0.00600000000000001,"L",0.157,0.581,0.263,0.894,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.014,0.986,0.014,"L",0.578,0.407,0.015,1.563,"H",0.001,0.024,0.976,0.0249999999999999,"L",0.089,0.443,0.468,0.621,"L",0.018,0.165,0.817,0.201,"L",0.009,0.144,0.847,0.162,"L",0.003,0.086,0.911,0.091,"L"
