"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S052","s01-17","c01","Female","8","Academic",44,78,34,1,6,18,NA,NA,6,18,12,6,17,NA,NA,-0.58,1.99,NA,NA,44,NA,NA,78,FALSE,34,12,"adaptive_acc","Adaptive","Accuracy"
"S053","s01-03","c01","Female","2","Academic",45,39,-6,2,NA,NA,7,4,7,4,-3,NA,NA,6,4,NA,NA,-0.49,-1.59,NA,45,39,NA,FALSE,62,-3,"adaptive_full","Adaptive","Full"
"S054","s01-08","c01","Female","7","Academic",70,69,-1,1,16,16,NA,NA,16,16,0,15,14,NA,NA,1.97,1.25,NA,NA,70,NA,NA,69,FALSE,NA,0,"linear_full","Linear","Full"
"S055","s01-01","c01","Male","7","Academic",48,53,5,2,NA,NA,7,9,7,9,2,NA,NA,7,9,NA,NA,-0.19,-0.23,NA,48,53,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S056","s01-12","c01","Male","8","Academic",41,51,10,1,5,9,NA,NA,5,9,4,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,62,4,"adaptive_full","Adaptive","Full"
"S057","s01-09","c01","Male","7","Academic",48,67,19,2,NA,NA,7,15,7,15,8,NA,NA,7,14,NA,NA,-0.19,1.12,NA,48,67,NA,FALSE,NA,8,"linear_full","Linear","Full"
"S058","s01-02","c01","Female","4","Academic",56,54,-2,1,10,9,NA,NA,10,9,-1,10,9,NA,NA,0.55,0,NA,NA,56,NA,NA,54,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S059","s01-13","c01","Female","6","Academic",45,53,8,2,NA,NA,7,10,7,10,3,NA,NA,6,9,NA,NA,-0.49,-0.23,NA,45,53,NA,FALSE,57,3,"adaptive_full","Adaptive","Full"
"S060","s01-10","c01","Female","7","Academic",50,51,1,1,8,8,NA,NA,8,8,0,8,8,NA,NA,-0.01,-0.25,NA,NA,50,NA,NA,51,FALSE,NA,0,"linear_full","Linear","Full"
"S061","s01-04","c01","Female","3","Academic",60,50,-10,2,NA,NA,11,8,11,8,-3,NA,NA,11,8,NA,NA,1.01,-0.5,NA,60,50,NA,FALSE,62,-3,"adaptive_acc","Adaptive","Accuracy"
"S062","s01-07","c01","Male","3","Academic",47,54,7,1,8,10,NA,NA,8,10,2,7,9,NA,NA,-0.29,0,NA,NA,47,NA,NA,54,FALSE,61,2,"adaptive_full","Adaptive","Full"
"S063","s01-05","c01","Male","7","Academic",50,54,4,1,8,10,NA,NA,8,10,2,8,9,NA,NA,-0.01,0,NA,NA,50,NA,NA,54,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S064","s01-14","c01","Female","3","Academic",69,73,4,2,NA,NA,14,16,14,16,2,NA,NA,14,16,NA,NA,1.91,1.66,NA,69,73,NA,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S065","s01-15","c01","Female","2","Academic",47,66,19,1,7,13,NA,NA,7,13,6,7,13,NA,NA,-0.29,1,NA,NA,47,NA,NA,66,FALSE,NA,6,"linear_full","Linear","Full"
"S066","s01-06","c01","Male","6","Academic",39,53,14,2,NA,NA,4,9,4,9,5,NA,NA,4,9,NA,NA,-1.09,-0.23,NA,39,53,NA,FALSE,62,5,"adaptive_acc","Adaptive","Accuracy"
"S067","s01-11","c01","Male","3","Academic",50,48,-2,1,9,7,NA,NA,9,7,-2,8,7,NA,NA,-0.01,-0.49,NA,NA,50,NA,NA,48,FALSE,60,-2,"adaptive_full","Adaptive","Full"
"S068","s01-16","c01","Female","6","Academic",54,50,-4,2,NA,NA,9,8,9,8,-1,NA,NA,9,8,NA,NA,0.41,-0.5,NA,54,50,NA,FALSE,NA,-1,"linear_full","Linear","Full"
"S074","s02-03","c02","Male","6","Academic",61,60,-1,1,12,12,NA,NA,12,12,0,12,11,NA,NA,1.12,0.5,NA,NA,61,NA,NA,60,FALSE,62,0,"adaptive_acc","Adaptive","Accuracy"
"S075","s02-02","c02","Female","2","Academic",45,61,16,2,NA,NA,7,13,7,13,6,NA,NA,6,12,NA,NA,-0.49,0.58,NA,45,61,NA,FALSE,62,6,"adaptive_full","Adaptive","Full"
"S076","s02-14","c02","Female","7","Academic",53,51,-2,1,9,8,NA,NA,9,8,-1,9,8,NA,NA,0.27,-0.25,NA,NA,53,NA,NA,51,FALSE,NA,-1,"linear_full","Linear","Full"
"S077","s02-16","c02","Male","2","Academic",70,75,5,1,16,17,NA,NA,16,17,1,15,16,NA,NA,1.97,1.74,NA,NA,70,NA,NA,75,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
