SID,AltID,Session,Cond_code,Sequencing,Feedback,All_Items,Correct,Incorrect,Reamaining,ElapsedTime,P.sgp..H,P.sgp..M,P.sgp..L,EAP.sgp,MAP.sgp,P.ar..H,P.ar..M,P.ar..L,EAP.ar,MAP.ar,P.cr..H,P.cr..M,P.cr..L,EAP.cr,MAP.cr,P.dt..H,P.dt..M,P.dt..L,EAP.dt,MAP.dt,P.eg..H,P.eg..M,P.eg..L,EAP.eg,MAP.eg,P.exp..H,P.exp..M,P.exp..L,EAP.exp,MAP.exp,P.ext..H,P.ext..M,P.ext..L,EAP.ext,MAP.ext,P.ir..H,P.ir..M,P.ir..L,EAP.ir,MAP.ir,P.mod..H,P.mod..M,P.mod..L,EAP.mod,MAP.mod,P.rr..H,P.rr..M,P.rr..L,EAP.rr,MAP.rr,P.tab..H,P.tab..M,P.tab..L,EAP.tab,MAP.tab,P.vr..H,P.vr..M,P.vr..L,EAP.vr,MAP.vr,P.pic..H,P.pic..M,P.pic..L,EAP.pic,MAP.pic,t.cr1a,t.cr1b,t.cr3a,t.cr3b,t.cr2a,t.cr2b,t.eg1a,t.eg1b,t.eg3a,t.eg3b,t.eg2a,t.eg2b,t.exp1a,t.exp1b,t.exp3a,t.exp3b,t.exp2a,t.exp2b,t.ext1a,t.ext1c,t.ext3a,t.ext3b,t.ext2a,t.ext2c,t.modext1a,t.modext1b,t.modext3a,t.modext3b,t.modext2a,t.modext2b,t.rr1a,t.rr1b,t.rr3a,t.rr3b,t.rr2a,t.rr2b,t.sgp1a,t.sgp1b,t.sgp3a,t.sgp3b,t.sgp2a,t.sgp2b,t.tabext1a,t.tabext1b,t.tabext3a,t.tabext3b,t.tabext2a,t.tabext2b,t.vrexpmod3a,t.vrexpmod3a,,,t.vrextmod1a,t.vrextmod1b,t.vrextmod2a,t.vrmod3a,t.picexpvrmod3a,t.picexpmod3b,t.picext1a,t.picext1b,t.picext3a,.tpicexttabmodvr2a,t.vevrmg2a
S055,s01-01,1,1,2,2,63,8,55,0,00:44:16,0,0,1,2,1,0,0.006,0.994,1.994,1,0.072,0.6,0.328,1.256,2,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.003,0.997,1.997,1,0.002,0.321,0.678,1.676,1,0.009,0.118,0.873,1.864,1,0,0.016,0.984,1.983,1,0.008,0.229,0.763,1.755,1,0.001,0.061,0.938,1.937,1,0.043,0.35,0.607,1.563,1,0,0.03,0.97,1.97,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1
S058,s01-02,1,1,2,2,63,33,30,0,00:44:48,0.005,0.562,0.433,1.428,2,0.027,0.118,0.855,1.828,1,0.847,0.149,0.004,0.157,3,0.167,0.274,0.56,1.393,1,0,0.039,0.961,1.96,1,0.006,0.087,0.907,1.901,1,0.962,0.038,0,0.038,3,0.059,0.218,0.723,1.664,1,0.154,0.394,0.452,1.297,1,0.828,0.167,0.004,0.176,3,0.007,0.153,0.84,1.834,1,0.068,0.28,0.652,1.583,1,0.182,0.492,0.326,1.144,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2
S053,s01-03,1,2,2,1,63,12,51,0,00:35:45,0,0.001,0.999,1.999,1,0,0.014,0.986,1.985,1,0.019,0.402,0.579,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.005,0.995,1.995,1,0.014,0.577,0.409,1.396,2,0.032,0.241,0.727,1.694,1,0.065,0.274,0.661,1.596,1,0.009,0.231,0.76,1.751,1,0.021,0.229,0.75,1.729,1,0.166,0.499,0.336,1.17,2,0.005,0.146,0.849,1.844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2
S061,s01-04,1,1,2,2,63,21,42,0,00:31:32,0.001,0.096,0.903,1.903,1,0.002,0.02,0.978,1.977,1,0.055,0.409,0.536,1.482,1,0.109,0.235,0.656,1.547,1,0,0.015,0.985,1.985,1,0,0.019,0.981,1.98,1,0.322,0.652,0.027,0.705,2,0.011,0.107,0.882,1.872,1,0.013,0.14,0.847,1.834,1,0.145,0.577,0.278,1.134,2,0.003,0.105,0.892,1.888,1,0.028,0.267,0.705,1.678,1,0.034,0.312,0.654,1.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2
S063,s01-05,1,1,2,2,63,21,42,0,00:37:52,0.033,0.794,0.173,1.139,2,0,0.015,0.985,1.984,1,0.852,0.14,0.008,0.156,3,0.201,0.296,0.503,1.302,1,0.001,0.056,0.943,1.942,1,0,0.004,0.996,1.996,1,0.701,0.291,0.007,0.306,3,0.014,0.184,0.802,1.789,1,0.004,0.11,0.887,1.883,1,0.041,0.424,0.535,1.494,1,0.003,0.098,0.899,1.897,1,0.019,0.198,0.783,1.764,1,0,0.037,0.962,1.962,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
S066,s01-06,1,1,2,2,63,19,44,0,00:17:03,0,0.116,0.884,1.884,1,0,0.003,0.997,1.997,1,0.281,0.597,0.121,0.84,2,0.111,0.237,0.652,1.54,1,0,0.016,0.984,1.984,1,0,0.003,0.997,1.997,1,0.439,0.546,0.016,0.577,2,0.001,0.045,0.954,1.953,1,0.001,0.043,0.956,1.955,1,0.008,0.227,0.765,1.757,1,0.244,0.483,0.273,1.029,2,0.003,0.096,0.901,1.899,1,0,0.031,0.969,1.969,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
S062,s01-07,1,2,2,1,63,12,49,0,00:17:23,0,0.002,0.998,1.998,1,0,0.002,0.998,1.998,1,0.019,0.402,0.579,1.56,1,0.098,0.227,0.675,1.577,1,0,0.01,0.99,1.99,1,0,0.009,0.991,1.991,1,0.044,0.788,0.168,1.124,2,0,0.026,0.973,1.973,1,0.001,0.048,0.951,1.95,1,0.008,0.227,0.765,1.757,1,0.001,0.063,0.936,1.935,1,0.001,0.075,0.923,1.922,1,0,0.02,0.98,1.98,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
S054,s01-08,1,3,1,1,63,34,29,0,00:35:31,0.69,0.307,0.003,0.313,3,0.001,0.046,0.952,1.951,1,0.893,0.096,0.011,0.118,3,0.28,0.327,0.392,1.112,1,0.885,0.111,0.004,0.119,3,0,0.029,0.97,1.97,1,0.995,0.005,0,0.005,3,0.222,0.488,0.29,1.068,2,0.419,0.448,0.133,0.714,2,0.003,0.113,0.884,1.881,1,0.945,0.054,0.001,0.056,3,0.284,0.449,0.268,0.984,2,0.028,0.282,0.691,1.663,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2
S057,s01-09,1,3,1,1,63,25,28,10,0.03125,0.258,0.622,0.119,0.861,2,0.009,0.086,0.905,1.896,1,0.677,0.263,0.06,0.382,3,0.228,0.306,0.466,1.239,1,0.015,0.193,0.792,1.778,1,0,0.013,0.987,1.987,1,0.981,0.019,0,0.019,3,0.127,0.334,0.539,1.412,1,0.268,0.436,0.296,1.028,2,0.178,0.562,0.26,1.082,2,0.28,0.488,0.232,0.952,2,0.162,0.346,0.491,1.329,1,0.382,0.335,0.283,0.901,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S060,s01-10,1,3,1,1,63,28,35,0,00:42:56,0.049,0.903,0.048,0.999,2,0.001,0.019,0.981,1.98,1,0.962,0.037,0.001,0.039,3,0.218,0.306,0.476,1.259,1,0.001,0.065,0.934,1.933,1,0,0.004,0.996,1.996,1,0.975,0.025,0,0.025,3,0.006,0.135,0.859,1.854,1,0.001,0.067,0.932,1.931,1,0.143,0.578,0.279,1.136,2,0.561,0.386,0.052,0.491,3,0.004,0.096,0.9,1.895,1,0,0.032,0.968,1.967,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
S067,s01-11,1,2,2,1,63,6,54,0,0.006944444,0,0,1,2,1,0,0.003,0.997,1.997,1,0.018,0.402,0.58,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.011,0.989,1.989,1,0.001,0.293,0.706,1.704,1,0.001,0.032,0.967,1.966,1,0.001,0.033,0.966,1.966,1,0.008,0.227,0.765,1.757,1,0.001,0.068,0.931,1.929,1,0.002,0.099,0.898,1.896,1,0,0.031,0.968,1.968,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
S056,s01-12,1,2,2,1,63,20,43,0,00:33:29,0,0.026,0.974,1.974,1,0,0.005,0.995,1.995,1,0.224,0.643,0.133,0.91,2,0.1,0.229,0.67,1.57,1,0,0.011,0.989,1.989,1,0,0.009,0.991,1.991,1,0.562,0.431,0.006,0.444,3,0.001,0.041,0.958,1.957,1,0.001,0.039,0.96,1.959,1,0.039,0.422,0.539,1.501,1,0.059,0.345,0.596,1.537,1,0.004,0.116,0.881,1.877,1,0,0.011,0.989,1.989,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
