ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
Key,d,d,416,32,a,a,b,c,df,b,b,c,d,c,a,d,d,a,c,b,a,c,c,b,b
S069,b,c,416,32,a,b,b,d,b,b,b,a,c,b,c,a,e,d,b,b,c,d,a,b,c
S056,d,b,269,12,d,d,c,a,abce,b,b,a,a,d,b,d,e,d,c,,,,,,
S052,b,a,416,16,d,a,b,d,c,b,b,d,a,a,a,b,,,,,,,,,
S054,d,b,416,32,b,a,b,c,df,b,b,a,a,a,a,c,e,d,c,b,a,c,c,a,b
S058,d,d,416,14,a,d,d,b,d,a,b,d,c,c,c,d,a,b,c,b,e,a,b,b,a
S060,d,b,416,32,b,d,c,c,abcef,b,b,d,a,d,d,d,c,c,c,a,,,,,
S065,b,b,312,32,a,d,c,a,d,d,c,a,a,a,c,c,e,a,c,b,c,c,c,d,c
S063,b,d,416,4,b,a,a,a,d,b,b,d,c,d,a,b,e,b,c,b,c,a,b,c,a
S062,b,d,,32,c,a,c,d,,b,b,c,a,b,d,c,a,c,d,b,b,c,d,d,c
S071,d,d,416,32,,c,b,c,d,b,a,d,c,c,a,d,d,a,d,b,a,,,,
S067,c,d,416,32,b,c,a,d,d,d,b,c,b,c,d,c,d,c,c,c,b,d,c,a,c
S077,d,d,416,32,a,c,c,c,df,b,b,c,d,c,a,b,e,d,b,a,c,c,c,c,b
S084,b,c,416,32,b,c,c,c,cd,b,b,c,b,c,c,c,a,a,a,b,b,a,c,b,c
S094,d,d,416,42,b,a,c,d,f,d,b,c,c,a,c,a,e,a,b,b,c,c,d,a,a
S087,d,c,416,32,a,b,b,d,abc,b,b,c,a,b,c,c,e,a,c,a,c,a,d,a,d
S095,d,d,416,16,c,d,a,a,d,b,b,d,c,a,d,d,e,c,a,a,b,d,b,c,b
S090,b,c,416,32,c,b,d,b,a,c,b,a,a,a,d,d,d,c,c,b,d,a,c,b,b
S081,d,d,416,32,c,d,b,b,d,b,b,b,b,a,a,c,e,d,c,b,e,c,c,a,d
S078,b,b,416,32,c,a,b,d,d,a,b,c,c,d,a,c,e,a,b,b,b,a,d,a,b
S074,d,d,416,16,a,c,b,c,c,b,b,a,a,c,a,b,e,b,c,b,,,,,
S076,b,d,416,32,a,a,b,d,b,b,a,d,a,a,a,c,b,b,d,b,,,,,
S096,d,d,416,32,a,c,c,b,d,b,b,d,c,c,a,c,e,a,c,b,b,c,a,b,c
S093,b,d,416,16,b,d,b,a,f,b,d,d,d,b,c,a,d,d,d,b,b,b,c,b,d
S109,b,c,416,48,a,d,b,c,d,b,b,a,a,b,a,b,e,d,a,b,b,d,b,c,a
S113,b,d,416,56,c,d,c,b,adf,d,b,a,c,b,c,c,e,a,b,b,b,a,c,a,d
S118,d,b,416,6,a,b,b,d,e,b,b,c,b,a,d,c,c,d,b,b,b,b,b,a,b
S111,d,a,416,32,b,d,b,a,d,d,b,b,d,a,b,c,b,a,d,b,d,c,a,d,b
S097,d,d,416,32,c,d,b,c,d,b,b,d,a,d,a,c,d,c,d,b,c,a,c,a,d
S099,b,e,300,16,b,a,b,c,c,b,c,b,a,a,c,e,c,d,c,c,c,b,a,c,d
S103,d,d,416,16,d,a,b,c,df,b,b,c,d,c,a,,c,,,,,,,,
S101,d,b,416,32,a,b,b,c,d,b,a,c,c,d,c,a,e,a,b,b,b,a,d,d,b
S105,b,a,416,32,b,a,a,a,abce,b,b,a,d,d,b,a,c,d,c,a,c,a,b,b,c
S107,d,c,416,16,c,c,b,c,abcdef,b,b,c,c,a,c,d,a,c,b,c,c,a,b,a,d
S133,d,d,416,32,b,d,c,a,acdef,b,b,a,a,b,acd,d,c,a,,,,,,,
S131,d,d,416,16,b,b,b,b,acde,b,b,c,a,c,a,b,e,b,a,b,,c,b,a,b
S129,d,d,416,32,a,a,b,c,f,b,b,a,a,c,a,d,e,a,c,b,a,a,c,b,c
S127,d,a,416,8,a,a,b,c,f,b,b,d,a,d,a,a,d,a,c,b,,,,,
S139,d,d,416,32,a,acd,bc,c,abcdef,b,b,c,c,c,ac,d,a,,c,b,,,,,
S137,d,d,416,32,a,a,b,c,df,b,b,d,c,c,a,d,,,,,,,,,
S125,d,a,312,28,a,c,d,d,abc,b,c,a,d,b,a,c,d,d,d,b,b,a,c,a,c
S123,d,d,,16,a,a,b,b,f,b,b,b,d,a,a,d,,,,,,,,,
S121,d,d,416,62,a,a,b,c,df,b,b,a,c,c,a,b,e,b,c,b,c,a,c,d,
S119,d,d,416,16,c,d,b,a,df,b,b,c,a,b,a,b,e,a,b,b,b,a,a,b,
S135,d,e,416,16,b,b,c,c,abce,b,d,a,c,c,b,b,d,b,c,b,c,a,c,d,b
S148,d,d,,16,a,a,a,d,c,b,b,a,a,b,c,c,c,d,c,b,b,d,b,a,a
S146,d,c,364,16,a,d,b,d,abcdef,b,b,a,a,c,a,d,a,a,c,c,,,,,
S144,d,a,416,32,c,a,d,c,d,b,b,c,c,c,a,d,a,a,c,b,,,,,
S142,d,b,416,16,d,a,d,c,abcdf,b,b,a,c,b,b,b,e,d,c,b,c,a,a,d,a
S140,b,a,416,12,c,b,c,c,acd,d,b,a,a,c,c,c,e,b,b,a,b,d,,,
S154,d,d,416,16,c,c,b,c,d,b,b,a,a,c,a,d,,,,,,,,,
S156,d,e,416,32,a,a,b,d,d,b,b,a,a,c,a,d,d,c,c,b,c,a,,a,
S152,d,d,416,32,a,a,b,c,df,b,b,c,c,c,a,c,b,a,a,b,b,b,d,d,b
S150,d,a,416,16,a,c,b,c,abcef,b,b,a,c,a,d,d,c,a,a,a,d,,,,
S171,d,b,416,32,c,a,b,d,e,b,b,c,a,a,a,b,e,d,c,b,b,a,c,d,b
S163,d,c,416,16,d,d,b,b,f,d,b,c,c,d,b,d,a,c,a,b,a,b,b,a,d
S161,b,a,416,16,d,c,d,a,d,a,b,a,b,a,a,d,e,b,b,b,c,a,c,a,d
S159,b,b,416,12,d,b,b,c,b,b,c,d,c,b,c,d,e,a,b,a,c,b,b,a,b
S172,a,d,208,32,a,,a,c,f,b,b,a,d,c,a,d,e,d,b,b,c,c,b,b,d
S175,c,c,416,32,b,b,b,b,d,b,b,d,a,c,d,d,e,d,b,b,a,b,,,
S174,a,c,416000,32,d,b,d,a,c,b,b,d,c,a,c,a,b,a,c,b,d,a,c,b,d
S167,a,b,416,16,,,c,,a,b,,d,c,b,a,c,d,b,a,b,c,a,,,
S165,b,a,208,16,c,c,c,c,c,b,c,c,d,c,b,c,e,b,b,b,e,d,b,b,a
S157,d,b,416,32,a,a,c,a,d,b,d,a,a,a,d,c,e,c,a,b,c,a,d,a,c
S181,b,d,416,11,c,d,b,c,b,a,b,c,a,d,b,b,d,d,c,b,c,a,a,b,c
S179,b,d,416,32,c,d,c,c,d,b,b,b,,,,,,,,,,,,,
S177,b,e,316,10,c,c,b,a,c,b,d,b,a,c,c,b,a,d,b,c,e,b,a,c,a
S189,b,d,416,32,c,b,c,a,d,c,b,d,a,b,d,b,e,c,b,b,b,b,a,c,d
S192,b,a,346,12,b,c,b,c,c,d,a,b,c,c,c,d,b,b,c,d,c,b,b,d,b
S187,d,b,416,32,a,c,d,c,bef,c,b,d,a,c,b,e,d,b,a,b,b,a,d,a,d
S185,c,e,316,16,c,b,a,c,a,b,b,d,a,b,a,b,e,a,b,a,d,a,c,a,a
S190,c,e,,32,d,c,c,a,a,b,b,b,a,d,d,b,e,b,a,b,b,c,a,d,b
S183,c,d,416,10,c,b,b,a,d,b,c,a,a,a,acd,b,a,d,b,b,b,a,d,b,b
S196,b,b,416,16,c,b,d,b,adf,b,d,d,c,b,d,b,e,a,,,,,,,
S194,c,a,416,12,a,b,,d,d,b,b,,,,a,,a,,,,,,,,
S198,a,d,416,8,c,a,d,b,c,b,b,d,a,b,c,d,a,c,a,d,c,d,d,a,c
S200,b,d,416,12,c,d,c,d,abcde,a,b,a,b,a,c,d,c,d,a,b,b,c,a,a,c
S207,b,d,416,16,a,c,b,d,d,d,b,a,c,c,b,d,d,d,c,b,c,a,a,b,b
S202,c,b,,32,c,b,c,d,d,b,b,a,b,d,a,b,,,,,,,,,
S205,b,b,,12,a,a,c,c,c,b,c,b,c,c,d,d,d,d,c,b,b,a,d,b,c
S204,d,d,416,32,c,a,c,c,a,b,b,a,c,d,c,d,e,d,,,,,,,
