ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
Key,b,d,1215,16,c,a,d,a,de,b,c,a,a,b,c,b,a,a,b,d,a,c,d,a,c
S066,a,c,1215,8,b,a,a,b,ac,d,b,c,d,c,a,e,e,b,c,d,b,b,d,d,a
S064,b,d,1215,16,c,a,d,c,be,b,c,b,a,a,c,e,b,b,c,d,c,b,d,b,c
S053,a,a,645,15,a,a,d,d,ade,a,c,c,d,a,c,c,d,d,c,d,a,b,d,b,b
S055,a,d,615,12,d,c,b,b,cd,a,c,d,c,b,d,b,c,b,b,d,d,c,,,
S057,a,e,,36,a,b,d,c,ace,c,a,d,a,b,a,d,e,b,c,d,c,c,d,c,c
S059,a,e,540,13,b,b,d,b,df,a,a,c,c,b,b,b,e,b,c,d,a,c,b,b,c
S061,b,d,1215,8,c,b,c,c,abcd,b,c,c,c,a,a,d,a,b,c,d,c,c,d,d,c
S072,a,c,720,16,c,b,d,a,ad,a,c,a,d,b,c,e,a,b,c,b,b,,,,
S068,a,d,1215,8,d,b,d,a,adef,a,c,c,a,b,d,a,d,c,c,d,b,c,b,b,b
S073,a,d,1215,14,c,b,d,c,adf,b,b,d,b,,,,,,,,,,,,
S070,b,d,810,15,c,a,c,d,ab,a,c,,,,,,,,,,,,,,
S083,d,d,1215,16,b,a,c,c,abcf,b,c,c,c,c,d,b,a,b,c,d,b,c,d,a,a
S085,a,d,1215,16,c,b,c,c,bd,b,c,d,b,a,c,c,d,b,c,d,c,,b,b,d
S091,b,d,1215,16,d,b,c,a,ef,a,c,a,a,b,c,d,b,b,a,d,,a,,,
S088,a,d,810,11,b,b,d,a,abcf,b,d,a,a,b,a,d,e,b,a,d,b,b,a,b,b
S089,b,d,420,6,b,d,d,b,abcdef,a,c,d,c,d,d,c,e,a,c,b,b,d,c,c,b
S086,b,d,1215,16,,,d,a,de,,c,,d,b,c,,e,b,c,d,,,d,,
S079,b,d,1215,16,c,a,d,a,f,b,c,b,c,b,d,d,e,a,b,d,b,b,a,a,b
S082,c,d,450,12,b,b,d,a,d,b,c,c,c,b,c,c,b,a,a,b,c,a,d,,c
S080,a,d,3,8,d,b,d,a,abcd,a,c,d,c,a,a,c,e,b,c,d,c,b,d,b,a
S075,a,b,765,8,a,c,a,c,de,b,c,d,c,a,c,c,e,b,b,b,a,d,a,a,b
S092,a,a,1215,15,c,a,c,b,acdf,b,c,d,a,b,a,b,e,c,c,b,,,,,
S116,b,d,1215,16,a,d,d,a,de,a,a,d,c,b,a,b,,,,,,,,,
S114,b,d,1215,16,c,c,b,d,ad,b,c,c,d,b,c,,b,b,c,d,c,c,d,a,b
S117,b,d,1215,16,a,b,a,a,bd,c,c,d,c,a,d,c,b,,,,,,,,
S110,a,a,1215,16,b,,d,a,de,b,c,d,c,b,c,b,e,b,b,d,c,d,,,
S112,a,d,1215,8,d,d,d,a,df,b,c,c,a,a,a,b,c,d,a,b,c,d,a,b,c
S108,a,d,1215,16,c,a,d,b,bdef,b,c,c,c,b,c,d,e,,,,,,,,
S102,b,a,1215,27,d,c,a,a,de,b,c,b,c,a,c,e,e,b,b,d,c,d,d,a,c
S098,a,a,1215,14,c,a,d,d,ac,b,c,d,a,b,a,d,b,b,c,d,b,b,c,d,a
S100,b,d,1215,16,c,a,b,c,bd,c,c,d,b,b,c,c,a,b,c,d,c,c,a,b,b
S104,a,d,640,8,b,d,d,c,ace,a,a,c,c,b,b,e,b,b,c,d,b,b,a,a,b
S106,b,d,1215,8,c,a,d,a,abcde,a,c,c,c,b,c,e,,,,,,,,,
S115,b,d,1215,8,c,a,d,a,de,b,c,d,d,b,c,,e,a,,d,,,,,
S136,b,b,1215,16,c,a,d,a,de,a,a,c,c,b,c,c,e,b,c,d,,,,,
S126,d,d,540,19,b,b,b,a,acf,b,c,a,c,a,d,e,e,b,b,b,b,b,a,a,b
S124,b,d,1215,8,d,c,c,a,a,a,c,a,a,a,a,b,d,b,b,d,a,a,b,c,c
S122,a,d,1215,8,c,a,d,a,de,a,c,b,a,b,ac,b,e,b,b,d,b,c,d,b,c
S120,d,c,1215,31,c,b,d,a,b,a,c,a,d,c,a,d,c,a,b,d,c,b,,,
S134,b,d,1215,16,b,a,d,a,de,a,a,a,d,b,c,b,e,,,,,,,,
S132,a,b,1215,8,a,a,d,b,abcdef,a,c,d,c,b,abcd,b,e,a,c,d,a,b,d,b,c
S130,d,c,765,8,b,a,d,c,f,a,c,d,b,d,c,e,c,b,c,b,b,a,d,c,c
S128,b,d,1215,16,,a,d,,abce,b,b,a,c,b,c,,d,b,,,,,,,
S138,a,d,1215,31,a,d,d,a,acdf,a,c,c,d,a,d,d,e,b,b,d,c,c,b,b,b
S149,a,d,1215,8,d,a,c,a,cd,b,c,c,b,b,c,e,e,b,d,d,a,b,d,b,c
S147,b,a,1215,8,c,a,d,a,abcdef,b,c,c,a,b,a,b,c,c,c,d,c,d,b,a,a
S145,a,,1215,16,c,b,d,b,adef,a,a,c,c,,d,d,,b,b,d,b,a,,,
S143,d,d,1215,16,d,a,d,a,de,a,c,c,c,b,c,d,e,b,c,d,c,c,,,
S141,d,d,1215,8,c,c,d,d,abcdef,c,c,c,d,b,d,b,d,c,b,d,b,c,a,c,a
S155,c,b,810,8,d,a,b,a,de,a,c,b,d,c,c,e,a,b,c,,,,,,
S153,a,a,945,8,b,a,d,b,cef,a,c,b,d,b,d,d,e,b,c,d,e,c,d,b,b
S151,b,d,1215,31,d,a,b,a,de,a,a,b,c,b,c,c,e,c,c,d,b,b,b,d,c
S169,a,a,600,8,c,b,c,b,be,c,d,c,d,b,d,e,d,b,c,d,d,a,a,c,d
S166,a,b,675,8,,,b,c,ac,a,a,a,d,b,c,d,e,c,c,d,a,,,,
