"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S055","s01-01",0,0.008,0.992,0.00800000000000001,"L",0.374,0.534,0.092,1.282,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.317,0.619,0.064,1.253,"M",0,0.019,0.981,0.0189999999999999,"L",0.02,0.26,0.72,0.3,"L",0.008,0.114,0.878,0.13,"L",0.029,0.25,0.721,0.307,"L",0.004,0.089,0.907,0.097,"L"
"S058","s01-02",0.013,0.321,0.665,0.348,"L",0.744,0.241,0.015,1.728,"H",0.139,0.255,0.606,0.533,"L",0.005,0.079,0.916,0.089,"L",0.034,0.122,0.844,0.19,"L",0.787,0.208,0.005,1.783,"H",0.078,0.236,0.687,0.391,"L",0.594,0.353,0.053,1.541,"H",0.024,0.187,0.789,0.235,"L",0.099,0.259,0.642,0.457,"L",0.053,0.26,0.687,0.367,"L"
"S053","s01-03",0.003,0.084,0.913,0.0900000000000001,"L",0.21,0.547,0.243,0.968,"M",0.108,0.234,0.657,0.451,"L",0.002,0.043,0.956,0.046,"L",0,0.012,0.987,0.0129999999999999,"L",0.306,0.611,0.083,1.223,"M",0.049,0.195,0.756,0.292,"L",0.1,0.442,0.458,0.642,"L",0.021,0.177,0.802,0.219,"L",0.13,0.397,0.474,0.656,"L",0.054,0.278,0.668,0.386,"L"
"S061","s01-04",0.021,0.213,0.766,0.254,"L",0.31,0.484,0.206,1.104,"M",0.128,0.247,0.626,0.502,"L",0.005,0.067,0.928,0.077,"L",0,0.016,0.984,0.0169999999999999,"L",0.299,0.584,0.117,1.182,"M",0.014,0.111,0.874,0.14,"L",0.279,0.515,0.206,1.073,"M",0.017,0.161,0.822,0.195,"L",0.019,0.16,0.821,0.199,"L",0.063,0.27,0.667,0.396,"L"
"S063","s01-05",0.019,0.44,0.542,0.477,"L",0.786,0.202,0.013,1.773,"H",0.155,0.265,0.58,0.575,"L",0.007,0.097,0.896,0.111,"L",0,0.005,0.994,0.00600000000000001,"L",0.581,0.386,0.032,1.549,"H",0.005,0.081,0.914,0.0920000000000001,"L",0.092,0.443,0.465,0.628,"L",0.007,0.109,0.883,0.124,"L",0.022,0.171,0.807,0.215,"L",0.02,0.173,0.808,0.212,"L"
"S066","s01-06",0.064,0.521,0.414,0.65,"M",0.698,0.262,0.04,1.659,"H",0.174,0.277,0.549,0.625,"L",0.012,0.126,0.862,0.15,"L",0,0.01,0.99,0.01,"L",0.926,0.073,0.001,1.925,"H",0.121,0.295,0.584,0.537,"L",0.022,0.262,0.716,0.306,"L",0.147,0.362,0.491,0.657,"L",0.039,0.217,0.744,0.295,"L",0.068,0.278,0.654,0.415,"L"
"S062","s01-07",0,0.013,0.987,0.0129999999999999,"L",0.161,0.578,0.261,0.9,"M",0.099,0.228,0.673,0.426,"L",0.001,0.032,0.967,0.0329999999999999,"L",0,0.009,0.991,0.0089999999999999,"L",0.063,0.607,0.33,0.732,"M",0,0.02,0.98,0.0209999999999999,"L",0.088,0.443,0.469,0.619,"L",0.006,0.101,0.892,0.114,"L",0.002,0.073,0.925,0.077,"L",0.006,0.106,0.888,0.118,"L"
"S054","s01-08",0.891,0.107,0.002,1.89,"H",0.991,0.009,0,1.99,"H",0.298,0.333,0.369,0.93,"L",0.777,0.2,0.023,1.754,"H",0.012,0.086,0.902,0.11,"L",0.999,0.001,0,1.999,"H",0.573,0.345,0.081,1.492,"H",0.062,0.288,0.65,0.412,"L",0.907,0.088,0.005,1.903,"H",0.47,0.364,0.167,1.303,"H",0.494,0.374,0.132,1.363,"H"
"S057","s01-09",0.057,0.445,0.498,0.559,"L",0.652,0.301,0.047,1.604,"H",0.164,0.27,0.567,0.597,"L",0.011,0.113,0.877,0.134,"L",0,0.014,0.986,0.0149999999999999,"L",0.874,0.124,0.002,1.871,"H",0.029,0.162,0.809,0.22,"L",0.096,0.443,0.462,0.634,"L",0.1,0.31,0.589,0.511,"L",0.034,0.184,0.782,0.252,"L",0.194,0.3,0.506,0.688,"L"
"S060","s01-10",0.078,0.696,0.226,0.852,"M",0.895,0.099,0.005,1.89,"H",0.199,0.293,0.509,0.69,"L",0.016,0.155,0.83,0.186,"L",0,0.006,0.994,0.00600000000000001,"L",0.941,0.058,0.001,1.94,"H",0.007,0.103,0.891,0.116,"L",0.096,0.443,0.461,0.635,"L",0.198,0.396,0.406,0.791,"L",0.034,0.195,0.771,0.263,"L",0.035,0.225,0.739,0.296,"L"
