"T001","T002","T003","T004","T005","T006","T007","T008","T009","T010","T011","T012","T013","T014","T015","T016","T017","T018","T019","T020","T021","T022","T023","T024","T025"
"a","c",1215,8,"b","a","a","b","ac","d","b","c","d","c","a","e","e","b","c","d","b","b","d","d","a"
"b","d",1215,16,"c","a","d","c","be","b","c","b","a","a","c","e","b","b","c","d","c","b","d","b","c"
"a","a",645,15,"a","a","d","d","ade","a","c","c","d","a","c","c","d","d","c","d","a","b","d","b","b"
"a","d",615,12,"d","c","b","b","cd","a","c","d","c","b","d","b","c","b","b","d","d","c","","",""
"a","e",NA,36,"a","b","d","c","ace","c","a","d","a","b","a","d","e","b","c","d","c","c","d","c","c"
"a","e",540,13,"b","b","d","b","df","a","a","c","c","b","b","b","e","b","c","d","a","c","b","b","c"
"b","d",1215,8,"c","b","c","c","abcd","b","c","c","c","a","a","d","a","b","c","d","c","c","d","d","c"
"a","c",720,16,"c","b","d","a","ad","a","c","a","d","b","c","e","a","b","c","b","b","","","",""
"a","d",1215,8,"d","b","d","a","adef","a","c","c","a","b","d","a","d","c","c","d","b","c","b","b","b"
"a","d",1215,14,"c","b","d","c","adf","b","b","d","b","","","","","","","","","","","",""
"b","d",810,15,"c","a","c","d","ab","a","c","","","","","","","","","","","","","",""
"d","d",1215,16,"b","a","c","c","abcf","b","c","c","c","c","d","b","a","b","c","d","b","c","d","a","a"
"a","d",1215,16,"c","b","c","c","bd","b","c","d","b","a","c","c","d","b","c","d","c","","b","b","d"
"b","d",1215,16,"d","b","c","a","ef","a","c","a","a","b","c","d","b","b","a","d","","a","","",""
"a","d",810,11,"b","b","d","a","abcf","b","d","a","a","b","a","d","e","b","a","d","b","b","a","b","b"
"b","d",420,6,"b","d","d","b","abcdef","a","c","d","c","d","d","c","e","a","c","b","b","d","c","c","b"
"b","d",1215,16,"","","d","a","de","","c","","d","b","c","","e","b","c","d","","","d","",""
"b","d",1215,16,"c","a","d","a","f","b","c","b","c","b","d","d","e","a","b","d","b","b","a","a","b"
"c","d",450,12,"b","b","d","a","d","b","c","c","c","b","c","c","b","a","a","b","c","a","d","","c"
"a","d",3,8,"d","b","d","a","abcd","a","c","d","c","a","a","c","e","b","c","d","c","b","d","b","a"
"a","b",765,8,"a","c","a","c","de","b","c","d","c","a","c","c","e","b","b","b","a","d","a","a","b"
"a","a",1215,15,"c","a","c","b","acdf","b","c","d","a","b","a","b","e","c","c","b","","","","",""
"b","d",1215,16,"a","d","d","a","de","a","a","d","c","b","a","b","","","","","","","","",""
"b","d",1215,16,"c","c","b","d","ad","b","c","c","d","b","c","","b","b","c","d","c","c","d","a","b"
"b","d",1215,16,"a","b","a","a","bd","c","c","d","c","a","d","c","b","","","","","","","",""
"a","a",1215,16,"b","","d","a","de","b","c","d","c","b","c","b","e","b","b","d","c","d","","",""
"a","d",1215,8,"d","d","d","a","df","b","c","c","a","a","a","b","c","d","a","b","c","d","a","b","c"
"a","d",1215,16,"c","a","d","b","bdef","b","c","c","c","b","c","d","e","","","","","","","",""
"b","a",1215,27,"d","c","a","a","de","b","c","b","c","a","c","e","e","b","b","d","c","d","d","a","c"
"a","a",1215,14,"c","a","d","d","ac","b","c","d","a","b","a","d","b","b","c","d","b","b","c","d","a"
"b","d",1215,16,"c","a","b","c","bd","c","c","d","b","b","c","c","a","b","c","d","c","c","a","b","b"
"a","d",640,8,"b","d","d","c","ace","a","a","c","c","b","b","e","b","b","c","d","b","b","a","a","b"
"b","d",1215,8,"c","a","d","a","abcde","a","c","c","c","b","c","e","","","","","","","","",""
"b","d",1215,8,"c","a","d","a","de","b","c","d","d","b","c","","e","a","","d","","","","",""
"b","b",1215,16,"c","a","d","a","de","a","a","c","c","b","c","c","e","b","c","d","","","","",""
"d","d",540,19,"b","b","b","a","acf","b","c","a","c","a","d","e","e","b","b","b","b","b","a","a","b"
"b","d",1215,8,"d","c","c","a","a","a","c","a","a","a","a","b","d","b","b","d","a","a","b","c","c"
"a","d",1215,8,"c","a","d","a","de","a","c","b","a","b","ac","b","e","b","b","d","b","c","d","b","c"
"d","c",1215,31,"c","b","d","a","b","a","c","a","d","c","a","d","c","a","b","d","c","b","","",""
"b","d",1215,16,"b","a","d","a","de","a","a","a","d","b","c","b","e","","","","","","","",""
"a","b",1215,8,"a","a","d","b","abcdef","a","c","d","c","b","abcd","b","e","a","c","d","a","b","d","b","c"
"d","c",765,8,"b","a","d","c","f","a","c","d","b","d","c","e","c","b","c","b","b","a","d","c","c"
"b","d",1215,16,"","a","d","","abce","b","b","a","c","b","c","","d","b","","","","","","",""
"a","d",1215,31,"a","d","d","a","acdf","a","c","c","d","a","d","d","e","b","b","d","c","c","b","b","b"
"a","d",1215,8,"d","a","c","a","cd","b","c","c","b","b","c","e","e","b","d","d","a","b","d","b","c"
"b","a",1215,8,"c","a","d","a","abcdef","b","c","c","a","b","a","b","c","c","c","d","c","d","b","a","a"
"a","",1215,16,"c","b","d","b","adef","a","a","c","c","","d","d","","b","b","d","b","a","","",""
"d","d",1215,16,"d","a","d","a","de","a","c","c","c","b","c","d","e","b","c","d","c","c","","",""
"d","d",1215,8,"c","c","d","d","abcdef","c","c","c","d","b","d","b","d","c","b","d","b","c","a","c","a"
"c","b",810,8,"d","a","b","a","de","a","c","b","d","c","c","e","a","b","c","","","","","",""
"a","a",945,8,"b","a","d","b","cef","a","c","b","d","b","d","d","e","b","c","d","e","c","d","b","b"
"b","d",1215,31,"d","a","b","a","de","a","a","b","c","b","c","c","e","c","c","d","b","b","b","d","c"
"a","a",600,8,"c","b","c","b","be","c","d","c","d","b","d","e","d","b","c","d","d","a","a","c","d"
"a","b",675,8,"","","b","c","ac","a","a","a","d","b","c","d","e","c","c","d","a","","","",""
"a","a",705,12,"a","d","a","c","bf","a","a","a","d","a","b","c","e","b","c","b","a","c","c","a","d"
"a","a",1215,8,"b","c","c","a","af","b","c","d","c","c","b","b","e","b","c","d","b","d","b","a","c"
"a","d",1215,16,"d","a","c","a","aef","b","c","c","c","b","ac","b","","","","","","","","",""
"c","c",810,8,"a","d","b","a","cf","a","c","c","a","a","c","d","b","b","c","b","b","a","c","b","c"
"b","d",NA,16,"c","a","d","b","ce","b","c","a","b","d","c","b","e","b","d","","","","","",""
