"tRecursiveRuleGeometric1a","tRecursiveRuleGeometric1b","tRecursiveRuleGeometric2a","tRecursiveRuleGeometric2b","tRecursiveRuleGeometric3a","tRecursiveRuleGeometric3b"
NA,NA,NA,NA,NA,NA
0,0,0,0,0,1
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,1,0
0,0,0,1,1,1
1,1,1,1,1,1
NA,NA,1,1,1,NA
1,1,0,0,1,0
1,1,1,0,0,0
0,1,0,0,0,0
0,1,0,1,0,0
0,0,0,1,0,0
0,0,1,0,1,1
0,0,0,1,0,0
0,1,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
0,1,0,1,0,0
1,1,0,1,1,1
0,0,0,0,0,0
1,1,0,1,0,0
0,0,1,0,1,1
0,1,1,0,0,0
0,1,0,1,0,0
0,0,0,0,0,0
0,0,1,1,0,0
1,0,0,1,0,0
0,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,1,0
0,1,0,1,0,1
NA,NA,NA,NA,NA,NA
0,1,0,0,1,0
0,0,1,0,1,1
0,0,0,0,0,1
0,1,1,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,1,0,0,1,1
0,1,1,0,1,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,0,0,0,0
0,1,0,1,1,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,1,1
NA,NA,NA,NA,NA,NA
1,1,0,1,1,1
1,1,0,1,1,1
0,0,1,1,0,0
0,0,0,0,1,1
0,1,0,1,1,1
1,1,0,0,1,1
0,1,1,1,1,0
0,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,1
1,1,0,0,1,1
1,0,0,0,0,1
1,1,0,1,1,0
0,1,0,1,0,0
1,0,0,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,1,1,1
NA,NA,NA,NA,NA,NA
1,1,1,1,1,1
0,0,0,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,1,0,1,0,0
NA,NA,NA,NA,NA,NA
1,1,0,1,1,1
0,0,0,0,1,0
1,1,1,1,1,1
1,1,0,1,1,0
0,1,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,1
1,1,0,0,1,1
1,0,0,0,0,1
1,1,1,1,1,1
0,0,0,0,0,1
1,1,1,0,1,1
0,1,0,0,1,0
1,1,1,1,1,0
1,0,1,0,0,1
0,0,0,0,1,0
1,0,1,0,0,0
0,1,0,0,1,0
0,1,1,1,1,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
1,1,1,0,0,1
0,1,0,1,1,0
0,1,0,1,1,1
1,1,0,0,0,1
0,1,0,0,0,0
1,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,0,0
0,1,1,1,0,1
0,0,0,0,0,0
0,1,0,1,1,1
0,0,0,0,0,0
1,0,0,1,1,0
NA,NA,NA,NA,NA,NA
