"tSolveGeometricProblems1a","tSolveGeometricProblems1b","tSolveGeometricProblems2a","tSolveGeometricProblems2b","tSolveGeometricProblems3a","tSolveGeometricProblems3b"
1,1,1,1,1,0
1,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,1
0,0,1,1,0,0
0,1,1,1,1,0
0,0,1,1,0,0
1,0,1,1,0,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,1,0,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
1,1,0,0,0,1
0,1,0,0,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,1,0,0,1
1,1,1,0,0,0
1,1,1,1,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,1,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
1,1,0,0,0,0
1,1,1,1,1,0
0,1,1,1,0,0
0,0,1,0,0,0
0,1,1,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
1,0,0,0,0,0
1,1,1,1,1,0
0,1,0,1,0,0
1,0,0,1,0,0
1,1,0,1,1,0
1,1,0,1,1,1
0,0,0,0,0,0
1,1,0,0,1,1
1,1,1,1,0,0
0,0,0,0,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,0,1,1,0
0,0,0,0,0,0
1,1,1,1,0,1
0,1,0,0,1,1
1,1,1,0,1,1
1,1,1,1,0,0
1,1,1,1,0,0
0,1,1,1,1,1
1,1,0,1,0,0
1,1,1,1,1,0
0,0,1,1,1,1
0,0,0,0,1,1
0,0,1,0,1,0
0,1,1,0,1,0
1,0,1,1,0,0
1,1,1,1,1,1
1,1,1,0,0,0
1,1,1,1,1,0
0,0,1,1,0,0
0,1,0,0,0,0
1,1,0,0,0,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,0,0
1,1,1,1,1,1
0,1,0,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,0,1,1,1,0
0,0,1,1,0,1
1,1,1,1,0,1
0,1,1,1,1,1
1,1,1,1,0,0
1,1,0,1,0,0
1,1,1,1,0,1
1,1,1,1,1,0
0,0,0,0,1,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,0,0,0,0
0,0,1,0,1,0
1,1,1,1,0,1
1,0,0,0,1,1
0,0,0,0,0,1
1,0,0,1,1,0
0,1,0,0,1,0
1,1,1,1,1,1
1,1,0,1,1,0
0,1,0,1,1,0
1,0,0,0,0,0
1,1,0,1,0,0
0,0,1,1,1,0
0,1,0,1,0,0
0,0,1,1,0,1
1,1,1,1,0,1
0,1,0,0,0,0
1,1,0,1,1,1
1,1,1,1,1,0
0,0,1,1,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,1,1
1,0,0,1,0,1
0,0,1,1,1,1
0,1,0,1,0,0
0,0,1,1,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,1,1,0,0
1,1,1,0,1,0
0,0,1,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
1,1,1,1,0,0
0,1,1,0,1,0
0,1,1,1,0,0
1,0,1,1,0,0
0,1,1,0,1,0
1,1,0,0,1,1
1,0,1,0,1,0
1,1,0,0,0,1
1,0,0,0,0,0
1,0,0,1,0,0
0,1,1,1,0,0
1,1,1,0,0,0
1,1,1,1,0,1
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,1
1,0,1,1,1,0
0,0,0,0,0,0
1,1,1,1,0,0
0,1,1,1,0,0
