"tCommonRatio1a","tCommonRatio1b","tCommonRatio2a","tCommonRatio2b","tCommonRatio3a","tCommonRatio3b","tSolveGeometricProblems1a","tSolveGeometricProblems1b","tSolveGeometricProblems2a","tSolveGeometricProblems2b","tSolveGeometricProblems3a","tSolveGeometricProblems3b"
NA,NA,NA,NA,NA,NA,1,1,1,1,1,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,1,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,1,1,1,1,0
1,1,1,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,1,1,1,1,1,0
0,0,0,0,0,0,1,0,1,1,1,0
0,0,0,0,0,0,1,0,1,1,0,0
1,1,0,1,0,0,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,1,0,1,0,0
1,0,0,1,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,0,NA,1,1,1,1,0,0
0,1,0,1,0,0,1,1,0,1,0,0
0,1,1,1,0,0,1,1,1,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,0
1,1,1,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,1,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,0,0
1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,0,0,0,1,1,1,0,0
0,1,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,1,1,1,0
0,0,1,1,0,0,1,0,0,0,0,0
0,1,1,1,0,0,1,1,1,1,1,0
0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,0,1,1,0
NA,NA,NA,NA,NA,NA,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0,0,1,1
NA,NA,1,1,NA,NA,1,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,0,0
1,1,1,1,0,0,1,1,1,1,1,0
1,NA,0,1,0,0,1,1,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,1,1,1,1,0,1
1,1,1,1,0,0,0,1,0,0,1,1
1,1,0,1,0,0,1,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,0,0,0,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1
0,1,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1,0
1,1,1,1,0,0,0,1,1,0,1,0
1,1,1,1,0,0,1,0,1,1,0,0
1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,0,0,0
1,1,1,0,0,1,1,1,1,1,1,0
1,1,0,0,0,0,0,0,1,1,0,0
1,1,1,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0,0
1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,0
NA,NA,0,1,1,NA,0,0,1,1,0,0
1,1,0,1,0,0,1,1,1,1,1,1
1,1,0,1,0,0,0,1,0,0,1,1
1,1,1,1,0,0,1,1,1,1,1,1
NA,NA,1,1,NA,NA,1,1,1,1,0,1
1,1,0,1,0,0,1,0,1,1,1,0
1,1,0,0,0,0,0,0,1,1,0,1
0,0,0,1,0,0,1,1,1,1,0,1
1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,NA,NA,1,1,1,1,1,0
0,0,1,1,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,0,0
1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,NA,1,1,0,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0
1,1,1,1,0,NA,1,1,1,1,0,1
0,0,1,1,0,0,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,1,0,0,1,0
