"tModelExtendTableGeometric1a","tModelExtendTableGeometric1b","tModelExtendTableGeometric2a","tModelExtendTableGeometric2b","tModelExtendTableGeometric3a","tModelExtendTableGeometric3b","tTableExtendGeometric1a","tTableExtendGeometric1b","tTableExtendGeometric2a","tTableExtendGeometric2b","tTableExtendGeometric3a","tTableExtendGeometric3b","tVisualExtendTableModelVerbalRuleGeometric2a"
1,1,1,1,0,0,NA,NA,1,1,0,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,1,1,0,0,1,0,1,1,0
1,1,1,1,0,1,1,0,0,1,0,1,NA
1,1,1,1,1,0,0,0,0,0,0,1,0
1,1,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,1,1,0,1,0
1,1,0,1,0,0,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1,1,0
0,1,0,1,1,0,1,0,1,1,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,1,0,0,1,1,1,1,0,1,0
1,0,1,1,1,1,0,0,1,0,0,1,0
1,1,1,1,1,0,1,0,1,1,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,1
1,1,0,0,0,1,1,1,0,0,0,1,0
0,1,1,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,1,0,0,1,1,0
1,1,1,1,0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,1,1,1,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,1,1
0,0,1,1,0,1,1,0,0,0,1,1,0
1,0,1,1,0,0,1,1,0,1,0,1,0
1,1,1,1,1,1,0,0,0,0,1,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,1,1,0
1,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0
1,0,1,1,0,1,0,NA,1,1,1,1,0
1,0,1,0,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,1,0
0,0,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,1,1,0,1,NA
1,0,1,1,0,1,0,0,0,0,1,1,1
1,1,1,1,0,1,1,0,0,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,1,1,1,0
1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,1,0,1,0,1,0
1,1,1,1,0,0,1,1,0,1,0,1,0
1,0,1,1,1,1,1,1,1,1,0,1,1
1,0,1,1,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,0,1,1,1,1,0,0,0
1,1,1,1,0,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,0,0,0,0,1,0
1,1,0,0,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1,1,1,1,0
1,1,1,1,0,0,1,1,0,0,0,1,0
1,1,1,1,0,1,0,0,0,1,0,0,0
1,1,1,1,0,0,1,1,1,1,1,1,NA
1,0,1,1,1,1,NA,NA,0,0,0,1,0
1,0,1,1,1,0,1,1,0,1,0,1,0
1,1,0,1,0,0,1,0,0,1,0,1,0
1,1,1,1,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,1,1,0
1,0,1,1,1,1,1,1,0,1,1,1,0
0,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,0,1,1,0,1,1,0,1,0
1,1,1,1,0,0,1,1,0,0,1,1,0
1,1,1,1,0,1,1,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,0,1,0
1,0,1,0,0,0,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,0,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,0,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,0,0
1,1,1,1,0,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,1,1,0,0,1,0,1,0,0,1,0
0,0,0,1,0,0,1,1,0,1,0,0,0
0,1,0,1,0,0,1,1,0,0,1,1,0
1,0,1,1,0,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0
0,0,1,1,0,0,1,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,1,0,0,0
0,1,1,1,0,1,1,1,0,0,0,1,0
1,0,1,0,0,0,1,1,1,1,1,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,1,1,1,1,1,0
0,1,1,1,0,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0,1,1,0,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,1,0,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,1,1,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,1,0
1,NA,1,1,1,0,NA,NA,NA,NA,1,NA,0
1,0,1,1,0,1,1,0,0,1,0,1,1
0,1,1,1,0,1,1,0,0,0,1,1,0
1,0,0,1,0,0,1,1,0,0,1,1,0
1,1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,0,0,0,1
1,0,1,1,0,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,0,1,1,0,1,0
1,1,1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,1,1,0,0,0,0
0,0,1,0,1,1,1,1,0,1,0,0,1
0,0,1,0,0,1,0,0,0,NA,0,1,0
0,0,0,0,1,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,1,0,0,1,0
1,1,1,1,1,0,1,1,0,0,0,1,0
1,1,1,1,0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,0,0,1,0,1,0
1,1,1,1,1,1,1,0,1,0,1,1,0
1,1,1,1,0,1,1,0,0,0,1,1,0
0,1,1,1,0,0,1,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,1,1,1,1,0,1,1,1,0,1,0
1,1,0,1,0,0,0,0,0,1,0,1,0
1,1,1,1,0,0,1,1,0,0,0,1,1
1,1,1,1,0,1,0,0,0,1,1,0,1
1,1,0,1,0,0,1,1,1,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0,1,0
0,1,1,1,0,0,1,0,0,1,0,1,0
1,1,1,1,0,1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,0,0,0,0,1,0
1,1,1,1,0,1,0,1,0,0,1,1,0
0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,1,0,1,0,0,0,0,1,0
1,1,1,1,0,0,1,1,0,0,1,1,0
0,0,0,0,NA,NA,1,1,0,0,1,1,0
0,0,1,1,0,0,NA,NA,0,0,1,1,0
0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,NA,NA,0,0,0,0,NA,NA,0
0,1,NA,NA,NA,NA,1,1,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0
1,0,0,0,1,0,1,0,1,0,0,0,NA
0,0,0,NA,NA,NA,0,0,0,1,0,0,0
0,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0
0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,0,1,0,1,0
1,0,0,0,0,1,1,0,0,0,1,1,0
0,0,1,1,0,1,0,0,0,1,0,1,0
1,1,1,1,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,NA
0,0,1,0,0,0,1,0,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0
0,1,1,1,0,1,0,1,0,1,1,0,0
1,1,1,1,0,0,NA,NA,0,0,1,1,0
0,1,1,1,0,1,1,1,0,0,1,0,NA
1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,0,0,0,1,0,0
NA,NA,1,1,1,1,NA,NA,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,0,0,1,0,0,NA
1,1,1,1,1,1,1,1,0,0,0,1,1
1,0,1,1,0,0,0,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1
1,0,1,1,0,0,NA,NA,NA,NA,0,NA,0
1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,1,1,1,1,1,0
0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,1,1,1,0,1,1,0,1,1,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,0,1,0,1,0,1,0,0
1,1,1,1,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,0,0,1,0,0,0
