"","tVerbalRuleExplicitModelGeometric2a","tVerbalRuleExplicitModelGeometric3a","tVerbalRuleExtendModelGeometric1a","tVerbalRuleExtendModelGeometric1b","tVerbalRuleExtendModelGeometric2a","tVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3b","tVisualExtendTableModelVerbalRuleGeometric2a","tVisualExtendVerbalRuleModelGeometric2a"
"1",0,0,1,1,1,0,1,0,0,0
"2",1,0,1,0,1,0,0,1,1,1
"3",1,1,0,0,1,0,0,1,1,1
"4",1,0,1,0,1,0,0,0,0,0
"5",0,0,0,1,1,0,0,0,0,0
"6",1,1,0,1,0,NA,NA,NA,NA,NA
"7",0,1,0,1,1,0,0,0,0,1
"8",1,1,1,1,1,0,0,0,0,1
"9",0,0,1,0,0,0,0,0,0,0
"10",0,0,1,1,0,0,1,0,0,1
"11",1,0,0,0,0,0,0,0,0,0
"12",0,0,1,1,0,0,0,0,0,0
"13",1,1,1,0,1,0,1,1,1,1
"14",1,0,0,0,1,0,0,0,0,0
"15",0,0,0,0,1,0,0,1,0,0
"16",1,0,0,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,1,1,0,0
"18",1,1,1,0,1,0,0,0,0,1
"19",1,1,1,0,0,0,1,1,0,1
"20",1,1,1,0,1,0,0,0,0,1
"21",0,0,1,1,0,0,0,0,0,0
"22",0,0,1,0,0,0,0,0,0,0
"23",1,0,1,1,0,0,0,0,0,0
"24",0,0,0,1,0,0,0,0,0,0
"25",1,0,0,1,1,0,0,0,1,1
"26",0,0,0,0,1,0,1,0,0,0
"27",1,0,0,0,0,0,1,0,0,0
"28",1,1,0,0,1,0,0,0,0,0
"29",1,0,0,0,1,0,1,1,0,0
"30",1,0,1,1,1,1,0,0,0,0
"31",0,1,1,0,1,0,0,0,0,1
"32",1,0,1,1,0,0,0,0,0,0
"33",1,0,0,1,0,0,0,NA,1,1
"34",1,0,0,1,0,0,0,0,0,0
"35",1,1,0,1,1,0,0,0,0,1
"36",1,0,1,0,1,0,1,0,0,1
"37",0,0,0,0,0,0,1,0,0,1
"38",0,0,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0
"40",1,0,0,0,1,0,0,0,0,0
"41",0,0,1,0,0,0,0,0,0,0
"42",1,0,0,0,1,0,1,1,0,1
"43",1,0,0,1,0,0,0,0,0,0
"44",0,0,0,1,1,0,0,0,0,0
"45",1,0,0,0,1,0,1,0,0,1
"46",0,0,0,1,0,0,0,0,0,0
"47",1,0,0,0,1,0,1,1,NA,NA
"48",1,1,0,0,0,0,0,0,1,1
"49",1,0,1,0,1,0,0,0,1,1
"50",1,1,0,0,0,0,0,0,0,0
"51",1,0,1,0,1,0,1,0,0,0
"52",1,1,1,1,1,0,1,0,1,0
"53",1,0,1,0,0,0,1,0,0,0
"54",0,0,1,1,1,1,1,0,0,1
"55",1,0,0,1,1,0,1,0,0,1
"56",1,0,1,1,0,0,0,0,0,1
"57",1,1,0,1,0,0,0,0,0,0
"58",1,1,1,1,1,0,0,0,1,0
"59",1,0,1,1,1,1,0,0,0,0
"60",0,0,1,0,0,0,0,0,0,1
"61",0,0,0,0,0,0,0,0,0,0
"62",1,1,1,1,0,0,0,0,0,1
"63",0,0,1,0,0,0,0,1,0,1
"64",1,0,1,1,1,0,1,0,0,1
"65",1,0,0,1,0,0,1,0,0,0
"66",1,1,0,0,1,0,1,0,0,1
"67",1,0,1,1,1,0,0,0,0,0
"68",1,1,0,0,0,0,0,0,0,1
"69",1,0,1,0,1,0,1,0,0,1
"70",1,1,0,1,1,1,0,0,0,1
"71",1,0,1,1,1,0,0,0,NA,NA
"72",1,1,0,1,1,0,NA,NA,0,1
"73",1,1,0,0,1,0,1,0,0,1
"74",1,0,0,0,1,0,0,0,0,0
"75",1,0,0,0,1,0,1,0,0,1
"76",1,1,1,0,1,0,1,1,1,1
"77",1,1,0,0,0,0,0,0,0,0
"78",0,0,1,1,1,0,0,0,0,0
"79",1,0,1,0,1,0,1,1,0,1
"80",1,1,0,1,0,0,1,1,0,0
"81",1,0,1,1,1,0,1,0,0,1
"82",1,0,1,1,1,0,0,0,0,1
"83",1,0,0,1,0,0,0,1,0,0
"84",1,1,0,1,0,0,0,0,0,1
"85",0,0,0,0,0,0,0,1,0,0
"86",1,1,1,1,0,0,0,1,0,1
"87",1,0,0,1,1,0,0,0,0,1
"88",1,1,0,0,1,0,1,0,0,1
"89",1,0,1,0,0,0,0,1,0,0
"90",1,0,0,1,0,1,1,0,1,1
"91",0,0,0,1,1,0,1,0,0,0
"92",1,0,1,0,0,0,0,1,0,0
"93",0,0,0,0,0,0,1,0,0,0
"94",0,0,1,0,0,0,1,0,0,0
"95",1,1,0,0,0,0,0,0,0,1
"96",1,0,0,0,1,0,0,1,0,1
"97",1,0,0,0,0,0,1,1,0,0
"98",1,0,0,0,1,0,0,0,0,0
