"","Model","Node","NStates","State","Link","LinkScale","RecursiveRulesGeometric","ExplicitGeometric","AlgebraRulesGeometric","VerbalRulesGeometric","InduceRulesGeometric","VisualGeometric","ModelGeometric","TableGeometric","ExtendGeometric","ExamplesGeometric","CommonRatio","DistinguishTypes","SolveGeometricProblems","SolveSequenceProblems","Rules","A.RecursiveRulesGeometric","A.ExplicitGeometric","A.AlgebraRulesGeometric","A.VerbalRulesGeometric","A.InduceRulesGeometric","A.VisualGeometric","A.ModelGeometric","A.TableGeometric","A.ExtendGeometric","A.ExamplesGeometric","A.CommonRatio","A.DistinguishTypes","A.SolveGeometricProblems","A.SolveSequenceProblems","A","B.RecursiveRulesGeometric","B.ExplicitGeometric","B.AlgebraRulesGeometric","B.VerbalRulesGeometric","B.InduceRulesGeometric","B.VisualGeometric","B.ModelGeometric","B.TableGeometric","B.ExtendGeometric","B.ExamplesGeometric","B.CommonRatio","B.DistinguishTypes","B.SolveGeometricProblems","B.SolveSequenceProblems","B","PriorWeight"
"tRecursiveRuleGeo3b","ACEDmotif","tRecursiveRuleGeo3b",2,"Yes","partialCredit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",1.01257845154063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172613560719653,"10"
"tRecursiveRuleGeo3a","ACEDmotif","tRecursiveRuleGeo3a",2,"Yes","partialCredit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",1.12881891144548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126562499999999,"10"
"tRecursiveRuleGeo2b","ACEDmotif","tRecursiveRuleGeo2b",2,"Yes","partialCredit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",0.860707976425058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,"10"
"tRecursiveRuleGeo2a","ACEDmotif","tRecursiveRuleGeo2a",2,"Yes","partialCredit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",0.687289278790972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419375,"10"
"tRecursiveRuleGeo1b","ACEDmotif","tRecursiveRuleGeo1b",2,"Yes","partialCredit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",1.05127109637602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1506635235,"10"
"tRecursiveRuleGeo1a","ACEDmotif","tRecursiveRuleGeo1a",2,"Yes","partialCredit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",0.731615628946642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"10"
"tExplGeo3b","ACEDmotif","tExplGeo3b",2,"Yes","partialCredit",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",NA,0.609436239148965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179760742187499,"10"
"tExplGeo3a","ACEDmotif","tExplGeo3a",2,"Yes","partialCredit",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",NA,0.610810356591284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315624999999999,"10"
"tExplGeo2b","ACEDmotif","tExplGeo2b",2,"Yes","partialCredit",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",NA,0.740818220681718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499125,"10"
"tExplGeo2a","ACEDmotif","tExplGeo2a",2,"Yes","partialCredit",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",NA,0.71177032276261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9625,"10"
"tExplGeo1b","ACEDmotif","tExplGeo1b",2,"Yes","partialCredit",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",NA,1.14525234343045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10399375,"10"
"tExplGeo1a","ACEDmotif","tExplGeo1a",2,"Yes","partialCredit",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"""Compensatory""",NA,1.04441511613583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538074029069409,"10"
"tVisExplVerbRuleModGeo3b","ACEDmotif","tVisExplVerbRuleModGeo3b",2,"Yes","partialCredit",NA,0,1,0,1,0,1,1,0,0,0,0,0,0,0,"""Compensatory""",NA,0.824363627162813,NA,0.824363627162813,NA,1.23654544074422,1.60296725915294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,"10"
